copy_no,dilution,date_qPCR,qPCR_no,target,use,extract,notes,sample
NA,100,7/27/22,COHO-009,coho,1,NA,NA,0921.4Pad.Up11.1
NA,10,7/27/22,COHO-009,coho,0,1,use new extract in CUT-IN-025,1121.4Pad.Up11.1
NA,10,7/27/22,COHO-009,coho,0,1,use new extract in CUT-IN-025,1121.4Pad.Up11.3
NA,10,7/27/22,COHO-009,coho,1,1,NA,1121.4Pad.Up5.1
NA,10,7/27/22,COHO-009,coho,1,1,NA,1121.4Pad.Up5.2
NA,10,7/27/22,COHO-009,coho,0,1,use new extract in CUT-IN-025,1121.4Pad.Up5.3
NA,1,7/27/22,COHO-009,coho,1,NA,NA,NTC
1.00E+05,NA,7/27/22,COHO-009,coho,1,NA,NA,St1
10000,NA,7/27/22,COHO-009,coho,1,NA,NA,St2
1000,NA,7/27/22,COHO-009,coho,1,NA,NA,St3
100,NA,7/27/22,COHO-009,coho,1,NA,NA,St4
10,NA,7/27/22,COHO-009,coho,1,NA,NA,St5
5,NA,7/27/22,COHO-009,coho,1,NA,NA,St6
3,NA,7/27/22,COHO-009,coho,1,NA,NA,St7
1,NA,7/27/22,COHO-009,coho,1,1,NA,St8
NA,10,8/31/22,COHO-010,coho,1,1,NA,0621.2Brn.Up.1
NA,100,8/31/22,COHO-010,coho,1,1,NA,0621.2Brn.Up.2
NA,10,8/31/22,COHO-010,coho,1,1,NA,0721.2Brn.Up.1
NA,10,8/31/22,COHO-010,coho,1,1,NA,0721.2Brn.Up.2
NA,10,8/31/22,COHO-010,coho,1,1,NA,0821.2Brn.Up.2
NA,1,8/31/22,COHO-010,coho,1,NA,NA,NTC
1.00E+05,NA,8/31/22,COHO-010,coho,1,NA,NA,St1
10000,NA,8/31/22,COHO-010,coho,1,NA,NA,St2
1000,NA,8/31/22,COHO-010,coho,1,NA,NA,St3
100,NA,8/31/22,COHO-010,coho,1,NA,NA,St4
10,NA,8/31/22,COHO-010,coho,1,NA,NA,St5
5,NA,8/31/22,COHO-010,coho,1,NA,NA,St6
3,NA,8/31/22,COHO-010,coho,1,NA,NA,St7
1,NA,8/31/22,COHO-010,coho,1,NA,NA,St8
NA,10,NA,COHO-011,coho,1,1,NA,0122.4Pad.Dn.1
NA,10,NA,COHO-011,coho,1,1,NA,0222.4Pad.Dn.3
NA,10,NA,COHO-011,coho,1,1,NA,0222.4Pad.Up11.1
NA,10,NA,COHO-011,coho,1,2,NA,0321.4Pad.Dn.3
NA,10,NA,COHO-011,coho,1,2,NA,0321.4Pad.Up11.1
NA,10,NA,COHO-011,coho,1,1,NA,0321.4Pad.Up5.1
NA,10,NA,COHO-011,coho,1,1,NA,0621.4Pad.Up11.3
NA,10,NA,COHO-011,coho,1,NA,NA,0921.2Brn.Up.1
NA,100,NA,COHO-011,coho,1,1,NA,1121.1Prt.Up.1
NA,100,NA,COHO-011,coho,1,1,NA,1121.1Prt.Up.2
NA,100,NA,COHO-011,coho,1,1,NA,1221.1Prt.Dn.3
NA,100,NA,COHO-011,coho,1,1,NA,1221.1Prt.Up.1
1.00E+05,NA,NA,COHO-011,coho,1,NA,NA,St1
10000,NA,NA,COHO-011,coho,1,NA,NA,St2
1000,NA,NA,COHO-011,coho,1,NA,NA,St3
100,NA,NA,COHO-011,coho,1,NA,NA,St4
10,NA,NA,COHO-011,coho,1,NA,NA,St5
5,NA,NA,COHO-011,coho,1,NA,NA,St6
3,NA,NA,COHO-011,coho,1,NA,NA,St7
1,NA,NA,COHO-011,coho,1,NA,NA,St8
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn_1_0322_10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_1_0422_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_1_0522_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_1_0522_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_1_0522_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_1_0522_TR2_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_1_0522_TR2_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_1_0522_TR2_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_1_0522_TR3_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_1_0522_TR3_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_1_0522_TR3_1
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn_1_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn_2_0322_10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_2_0422_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_2_0522_1
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn_2_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn_3_0322_10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_3_0422_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn_3_0522_1
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn_3_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn1.0322 1:10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn1.0422
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn1.0522
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn1.0522
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn1.0522
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn1.0522TR2
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn1.0522TR2
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn1.0522TR2
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn1.0522TR3
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn1.0522TR3
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn1.0522TR3
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn1.0622 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn2.0322 1:10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn2.0422
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn2.0522
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn2.0622 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn3.0322 1:10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn3.0422
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadDn3.0522
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadDn3.0622 1:10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11_1_0322_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11_1_0422_1
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp11_1_0522_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp11_1_0622_10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11_2_0322_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11_2_0422_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11_2_0522_1
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp11_2_0622_10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11_3_0322_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11_3_0422_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11_3_0522_1
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp11_3_0622_10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11.1.0322
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11.1.0422
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp11.1.0522 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp11.1.0622 1:10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11.2.0322
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11.2.0422
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11.2.0522
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp11.2.0622 1:10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11.3.0322
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11.3.0422
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp11.3.0522
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp11.3.0622 1:10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5_1_0322_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5_1_0422_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5_1_0522_1
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp5_1_0622_10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5_2_0322_1_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5_2_0422_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5_2_0522_1
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp5_2_0622_10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5_3_0322_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5_3_0422_1
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5_3_0522_1
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp5_3_0622_10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5.1.0322
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5.1.0422
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5.1.0522
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp5.1.0622 1:10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5.2.0322
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5.2.0422
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5.2.0522
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp5.2.0622 1:10
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5.3.0322
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5.3.0422
NA,NA,1/1/00,COHO-098,coho,1,NA,NA,PadUp5.3.0522
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PadUp5.3.0622 1:10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn_1_0322_100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_1_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_1_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_1_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_1_0422_TR2_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_1_0422_TR2_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_1_0422_TR2_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_1_0422_TR3_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_1_0422_TR3_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_1_0422_TR3_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_1_0522_10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn_1_0622_100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn_2_0322_100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_2_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_2_0522_10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn_2_0622_100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn_3_0322_100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_3_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn_3_0522_10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn_3_0622_100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn1.0322 1:100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn1.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn1.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn1.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn1.0422TR2 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn1.0422TR2 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn1.0422TR2 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn1.0422TR3 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn1.0422TR3 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn1.0422TR3 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn1.0522 1:10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn1.0622 1:100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn2.0322 1:100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn2.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn2.0522 1:10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn2.0622 1:100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn3.0322 1:100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn3.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtDn3.0522 1:10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtDn3.0622 1:100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp_1_0322_100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp_1_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp_1_0522_10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp_1_0622_100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp_2_0322_100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp_2_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp_2_0522_10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp_2_0622_100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp_3_0322_100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp_3_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp_3_0522_10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp_3_0622_100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp1.0322 1:100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp1.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp1.0522 1:10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp1.0622 1:100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp2.0322 1:100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp2.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp2.0522 1:10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp2.0622 1:100
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp3.0322 1:100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp3.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,PrtUp3.0522 1:10
NA,NA,4/9/00,COHO-098,coho,1,NA,NA,PrtUp3.0622 1:100
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_1_0322_TR1_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_1_0322_TR1_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_1_0322_TR1_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_1_0322_TR2_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_1_0322_TR2_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_1_0322_TR2_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_1_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_1_0522_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_1_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_2_0322_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_2_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_2_0522_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_2_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_3_0322_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_3_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_3_0522_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn_3_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn.1_0322_TR3_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn.1_0322_TR3_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn.1_0322_TR3_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn.1.0322TR3 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn.1.0322TR3 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn.1.0322TR3 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn1.0322TR1 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn1.0322TR1 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn1.0322TR1 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn1.0322TR2 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn1.0322TR2 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn1.0322TR2 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn1.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn1.0522 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn1.0622 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn2.0322 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn2.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn2.0522 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn2.0622 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn3.0322 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn3.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn3.0522 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmDn3.0622 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0322_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0522_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0622_TR2_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0622_TR2_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0622_TR2_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0622_TR3_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0622_TR3_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_1_0622_TR3_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_2_0322_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_2_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_2_0522_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_2_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_3_0322_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_3_0422_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_3_0522_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp_3_0622_10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0322 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0522 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0622 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0622 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0622 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0622TR2 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0622TR2 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0622TR2 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0622TR3 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0622TR3 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp1.0622TR3 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp2.0322 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp2.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp2.0522 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp2.0622 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp3.0322 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp3.0422 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp3.0522 1:10
NA,NA,1/10/00,COHO-098,coho,1,NA,NA,SqmUp3.0622 1:10
1.00E+05,NA,NA,COHO-098,coho,1,NA,NA,St1
10000,NA,NA,COHO-098,coho,1,NA,NA,St2
1000,NA,NA,COHO-098,coho,1,NA,NA,St3
100,NA,NA,COHO-098,coho,1,NA,NA,St4
10,NA,NA,COHO-098,coho,1,NA,NA,St5
5,NA,NA,COHO-098,coho,1,NA,NA,St6
3,NA,NA,COHO-098,coho,1,NA,NA,St7
1,NA,NA,COHO-098,coho,1,NA,NA,St8
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_1_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_1_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_1_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_1_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_1_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_1_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_2_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_2_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_2_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_2_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_2_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_2_1222_1
NA,10,NA,COHO-099,coho,1,NA,NA,PadDn_3_0722_10
NA,10,NA,COHO-099,coho,1,NA,NA,PadDn_3_0722_10
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_3_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_3_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_3_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadDn_3_1222_1
NA,100,NA,COHO-099,coho,1,NA,NA,PadUp11_1_0722_100
NA,100,NA,COHO-099,coho,1,NA,NA,PadUp11_1_0722_100
NA,100,NA,COHO-099,coho,1,NA,NA,PadUp11_1_0722TR2_100
NA,100,NA,COHO-099,coho,1,NA,NA,PadUp11_1_0722TR2_100
NA,100,NA,COHO-099,coho,1,NA,NA,PadUp11_1_0722TR3_100
NA,100,NA,COHO-099,coho,1,NA,NA,PadUp11_1_0722TR3_100
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp11_1_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp11_1_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp11_1_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp11_1_1222_1
NA,10,NA,COHO-099,coho,1,NA,NA,PadUp11_2_0722_10
NA,10,NA,COHO-099,coho,1,NA,NA,PadUp11_2_0722_10
NA,10,NA,COHO-099,coho,1,NA,NA,PadUp11_2_0822_10
NA,10,NA,COHO-099,coho,1,NA,NA,PadUp11_2_0822_10
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp11_2_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp11_2_1222_1
NA,10,NA,COHO-099,coho,1,NA,NA,PadUp11_3_0722_10
NA,10,NA,COHO-099,coho,1,NA,NA,PadUp11_3_0722_10
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp11_3_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp11_3_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp11_3_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp11_3_1222_1
NA,10,NA,COHO-099,coho,1,NA,NA,PadUp5_1_0722_10
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp5_1_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp5_1_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp5_1_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp5_2_0722_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp5_2_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp5_2_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp5_2_1222_1
NA,10,NA,COHO-099,coho,1,NA,NA,PadUp5_3_0722_10
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp5_3_0822_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp5_3_1222_1
NA,1,NA,COHO-099,coho,1,NA,NA,PadUp5_3_1222_1
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_1_0722_100
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_1_0722_100
NA,100,NA,COHO-099,coho,1,NA,NA,PrtDn_1_07220
