copy_no,dilution,date_qPCR,qPCR_no,target,use,extract,notes,sample
NA,NA,7/20/22,COHO-003,coho,1,1,NA,0821.EB
NA,NA,7/20/22,COHO-003,coho,1,1,NA,0921.EB
NA,NA,7/20/22,COHO-003,coho,1,1,NA,1021.EB
NA,10,7/20/22,COHO-003,coho,1,1,NA,1121.2Brn.Dn.3
NA,NA,7/20/22,COHO-003,coho,1,1,NA,1121.EB
NA,10,7/20/22,COHO-003,coho,1,1,NA,1221.2Brn.Dn.1
NA,NA,7/20/22,COHO-003,coho,1,1,NA,1221.EB
NA,NA,7/20/22,COHO-003,coho,1,NA,NA,NTC
1.00E+05,NA,7/20/22,COHO-003,coho,1,NA,NA,St1
10000,NA,7/20/22,COHO-003,coho,1,NA,NA,St2
1000,NA,7/20/22,COHO-003,coho,1,NA,NA,St3
100,NA,7/20/22,COHO-003,coho,1,NA,NA,St4
10,NA,7/20/22,COHO-003,coho,1,NA,NA,St5
5,NA,7/20/22,COHO-003,coho,1,NA,NA,St6
3,NA,7/20/22,COHO-003,coho,1,NA,NA,St7
1,NA,7/20/22,COHO-003,coho,1,NA,NA,St8
NA,1,7/21/22,COHO-004,coho,0,1,NA,0121.EB
NA,1,7/21/22,COHO-004,coho,0,1,NA,0321.4Pad.Dn.1
NA,1,7/21/22,COHO-004,coho,0,1,NA,0321.4Pad.Dn.2
NA,1,7/21/22,COHO-004,coho,0,1,NA,0321.4Pad.Dn.3
NA,1,7/21/22,COHO-004,coho,0,1,NA,0321.4Pad.Up11.1
NA,1,7/21/22,COHO-004,coho,0,1,NA,0321.4Pad.Up11.2
NA,1,7/21/22,COHO-004,coho,0,1,NA,0321.4Pad.Up11.3
NA,1,7/21/22,COHO-004,coho,0,1,NA,0321.4Pad.Up5.1
NA,1,7/21/22,COHO-004,coho,0,1,NA,0321.4Pad.Up5.2
NA,1,7/21/22,COHO-004,coho,0,1,NA,0321.4Pad.Up5.3
NA,1,7/21/22,COHO-004,coho,0,1,NA,0421.4Pad.Dn.1
NA,1,7/21/22,COHO-004,coho,0,1,NA,0421.4Pad.Dn.2
NA,1,7/21/22,COHO-004,coho,0,1,NA,0421.4Pad.Dn.3
NA,1,7/21/22,COHO-004,coho,0,1,NA,0421.4Pad.Up11.1
NA,1,7/21/22,COHO-004,coho,0,1,NA,0421.4Pad.Up11.2
NA,1,7/21/22,COHO-004,coho,0,1,NA,0421.4Pad.Up11.3
NA,1,7/21/22,COHO-004,coho,0,1,NA,0421.4Pad.Up5.1
NA,1,7/21/22,COHO-004,coho,0,1,NA,0421.4Pad.Up5.2
NA,1,7/21/22,COHO-004,coho,0,1,NA,0421.4Pad.Up5.3
NA,1,7/21/22,COHO-004,coho,0,1,NA,0521.4Pad.Dn.1
NA,1,7/21/22,COHO-004,coho,0,1,NA,0521.4Pad.Dn.2
NA,1,7/21/22,COHO-004,coho,0,1,NA,0521.4Pad.Dn.3
NA,1,7/21/22,COHO-004,coho,0,1,NA,0521.4Pad.Up11.1
NA,1,7/21/22,COHO-004,coho,0,1,NA,NTC
1.00E+05,NA,7/21/22,COHO-004,coho,0,NA,NA,St1
10000,NA,7/21/22,COHO-004,coho,0,NA,NA,St2
1000,NA,7/21/22,COHO-004,coho,0,NA,NA,St3
100,NA,7/21/22,COHO-004,coho,0,NA,NA,St4
10,NA,7/21/22,COHO-004,coho,0,NA,NA,St5
5,NA,7/21/22,COHO-004,coho,0,NA,NA,St6
3,NA,7/21/22,COHO-004,coho,0,NA,NA,St7
1,NA,7/21/22,COHO-004,coho,0,NA,NA,St8
NA,1,7/27/22,COHO-004A,coho,1,1,NA,0321.4Pad.Dn.1
NA,1,7/27/22,COHO-004A,coho,1,1,NA,0321.4Pad.Dn.2
NA,1,7/27/22,COHO-004A,coho,0,1,NA,0321.4Pad.Dn.3
NA,5,7/27/22,COHO-004A,coho,0,2,NA,0321.4Pad.Up11.1
NA,4,7/27/22,COHO-004A,coho,1,1,6:18 dilution,0321.4Pad.Up11.2
NA,1,7/27/22,COHO-004A,coho,1,1,NA,0321.4Pad.Up11.3
NA,1,7/27/22,COHO-004A,coho,0,2,NA,0321.4Pad.Up5.1
NA,5,7/27/22,COHO-004A,coho,1,1,1:19 dilution,0321.4Pad.Up5.2
NA,5,7/27/22,COHO-004A,coho,1,1,1:19 dilution,0321.4Pad.Up5.3
NA,14,7/27/22,COHO-004A,coho,1,1,3:18 dilution,0421.4Pad.Dn.1
NA,14,7/27/22,COHO-004A,coho,1,1,3:18 dilution,0421.4Pad.Dn.2
NA,4,7/27/22,COHO-004A,coho,1,1,6:18 dilution,0421.4Pad.Dn.3
NA,1,7/27/22,COHO-004A,coho,1,2,NA,0421.4Pad.Up11.1
NA,1,7/27/22,COHO-004A,coho,1,2,NA,0421.4Pad.Up11.2
NA,14,7/27/22,COHO-004A,coho,1,1,3:18 dilution,0421.4Pad.Up11.3
NA,1,7/27/22,COHO-004A,coho,1,2,NA,0421.4Pad.Up5.1
NA,5,7/27/22,COHO-004A,coho,1,1,1:19 dilution,0421.4Pad.Up5.2
NA,5,7/27/22,COHO-004A,coho,1,1,1:19 dilution,0421.4Pad.Up5.3
