Serial Number,W30401034
Sample ID,00164
Start Time,2022-05-10 17:31:38 UTC
Duration,0:05:19
Total Volume (l),6.04
Distance (m),11
Peak Pressure (psi),8.5
Avg Flow (l/min),1.1
Avg Rate (mL/m),571.4
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-05-10 17:31:38,0,0.00,-0.24,0.04,24.65,0.03,48.183134,-122.128547,37.9,4.1
2022-05-10 17:31:40,2,0.00,-0.19,0.02,13.02,0.03,48.183134,-122.128549,37.9,4.1
2022-05-10 17:31:42,4,0.00,-0.11,0.01,6.40,0.03,48.183133,-122.128550,38.3,4.1
2022-05-10 17:31:44,6,0.00,-0.02,0.01,6.97,0.02,48.183133,-122.128551,38.5,4.1
2022-05-10 17:31:46,8,0.00,0.08,0.01,7.18,0.02,48.183133,-122.128551,38.6,4.1
2022-05-10 17:31:48,10,0.00,0.61,0.00,0.00,0.02,48.183134,-122.128551,38.7,4.1
2022-05-10 17:31:50,12,0.00,2.59,0.00,0.00,0.02,48.183134,-122.128552,38.7,4.1
2022-05-10 17:31:52,14,0.00,2.76,0.01,7.61,0.02,48.183135,-122.128552,38.8,4.1
2022-05-10 17:31:54,16,0.00,4.43,0.00,0.00,0.02,48.183135,-122.128552,38.6,4.1
2022-05-10 17:31:56,18,0.03,5.54,0.56,435.12,0.02,48.183139,-122.128555,38.3,4.1
2022-05-10 17:31:58,20,0.08,8.46,1.32,999.00,0.02,48.183140,-122.128556,38.0,4.1
2022-05-10 17:32:00,22,0.14,1.33,1.58,999.00,0.02,48.183142,-122.128556,37.7,4.1
2022-05-10 17:32:02,24,0.18,4.12,1.29,916.84,0.02,48.183141,-122.128555,37.5,4.1
2022-05-10 17:32:04,26,0.22,4.57,1.37,848.82,0.03,48.183143,-122.128553,37.2,4.1
2022-05-10 17:32:06,28,0.27,3.49,1.29,863.45,0.03,48.183143,-122.128551,36.9,4.1
2022-05-10 17:32:08,30,0.31,2.25,1.31,864.69,0.03,48.183144,-122.128549,36.7,4.1
2022-05-10 17:32:10,32,0.35,3.33,1.29,815.94,0.03,48.183144,-122.128547,36.5,4.1
2022-05-10 17:32:12,34,0.40,3.17,1.30,738.22,0.04,48.183145,-122.128545,36.6,4.1
