Serial Number,W30401034
Sample ID,00133
Start Time,2022-01-13 22:20:40 UTC
Duration,0:07:15
Total Volume (l),3.05
Distance (m),26
Peak Pressure (psi),13.5
Avg Flow (l/min),0.4
Avg Rate (mL/m),139.0
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-01-13 22:20:40,0,0.00,-0.20,0.00,0.00,0.04,48.800120,-122.405082,77.4,3.6
2022-01-13 22:20:42,2,0.00,-0.19,0.00,0.00,0.04,48.800124,-122.405081,78.0,3.6
2022-01-13 22:20:44,4,0.00,-0.11,0.09,30.49,0.05,48.800126,-122.405082,78.9,3.6
2022-01-13 22:20:46,6,0.00,-0.03,0.03,10.55,0.05,48.800128,-122.405083,79.5,3.6
2022-01-13 22:20:48,8,0.00,0.04,0.01,3.44,0.05,48.800131,-122.405083,80.0,3.6
2022-01-13 22:20:50,10,0.00,0.14,0.00,0.00,0.06,48.800133,-122.405084,80.5,3.6
2022-01-13 22:20:52,12,0.00,0.82,0.00,0.00,0.06,48.800134,-122.405086,80.8,3.6
2022-01-13 22:20:54,14,0.00,2.79,0.00,0.00,0.08,48.800130,-122.405098,82.3,3.6
2022-01-13 22:20:56,16,0.00,3.06,0.00,0.00,0.09,48.800128,-122.405114,83.7,3.6
2022-01-13 22:20:58,18,0.00,4.79,0.00,0.00,0.09,48.800125,-122.405131,85.5,3.6
2022-01-13 22:21:00,20,0.02,6.33,0.47,86.37,0.09,48.800124,-122.405145,86.8,3.6
2022-01-13 22:21:02,22,0.06,6.94,0.89,150.21,0.10,48.800123,-122.405160,88.1,3.6
2022-01-13 22:21:04,24,0.10,8.09,1.30,215.05,0.10,48.800122,-122.405175,89.3,3.6
2022-01-13 22:21:06,26,0.15,7.21,1.39,230.74,0.10,48.800120,-122.405191,91.2,3.6
2022-01-13 22:21:08,28,0.20,6.82,1.39,242.58,0.10,48.800120,-122.405205,93.1,3.6
2022-01-13 22:21:10,30,0.25,5.22,1.44,233.12,0.10,48.800126,-122.405205,93.8,4.2
2022-01-13 22:21:12,32,0.29,4.04,1.34,235.58,0.10,48.800139,-122.405199,93.1,4.2
2022-01-13 22:21:14,34,0.34,3.89,1.31,269.71,0.08,48.800144,-122.405190,93.4,4.2
2022-01-13 22:21:16,36,0.38,4.38,1.30,253.12,0.09,48.800153,-122.405178,94.0,4.2
2022-01-13 22:21:18,38,0.42,5.24,1.29,249.28,0.09,48.800161,-122.405167,94.3,4.2
2022-01-13 22:21:20,40,0.46,4.36,1.29,252.35,0.08,48.800169,-122.405161,94.5,4.2
2022-01-13 22:21:22,42,0.51,5.50,1.29,273.54,0.07,48.800173,-122.405150,95.3,4.2
2022-01-13 22:21:24,44,0.55,4.62,1.36,324.27,0.07,48.800175,-122.405134,96.3,4.2
2022-01-13 22:21:26,46,0.59,4.99,1.26,299.79,0.07,48.800181,-122.405114,96.8,4.2
2022-01-13 22:21:28,48,0.64,5.64,1.31,318.73,0.06,48.800187,-122.405097,97.1,4.2
2022-01-13 22:21:30,50,0.68,4.41,1.30,359.91,0.06,48.800190,-122.405087,97.0,4.0
2022-01-13 22:21:32,52,0.72,4.90,1.30,376.81,0.05,48.800193,-122.405079,96.5,4.0
2022-01-13 22:21:34,54,0.77,4.42,1.30,463.95,0.04,48.800196,-122.405071,95.7,4.0
2022-01-13 22:21:36,56,0.81,5.02,1.30,505.64,0.04,48.800200,-122.405068,94.6,4.0
2022-01-13 22:21:38,58,0.85,4.89,1.30,552.72,0.04,48.800204,-122.405062,94.0,4.0
2022-01-13 22:21:40,60,0.90,5.55,1.30,547.14,0.04,48.800209,-122.405061,93.1,4.0
2022-01-13 22:21:42,62,0.94,5.16,1.30,568.68,0.04,48.800216,-122.405068,92.5,4.0
2022-01-13 22:21:44,64,0.98,5.19,1.30,549.92,0.04,48.800219,-122.405071,92.7,4.0
2022-01-13 22:21:46,66,1.02,5.64,1.30,510.40,0.04,48.800222,-122.405075,93.2,4.0
2022-01-13 22:21:48,68,1.07,6.84,1.28,459.28,0.05,48.800225,-122.405079,93.8,4.0
2022-01-13 22:21:50,70,1.11,5.21,1.30,465.45,0.05,48.800228,-122.405081,94.9,4.0
2022-01-13 22:21:52,72,1.15,6.72,1.30,459.53,0.05,48.800229,-122.405080,96.1,4.0
2022-01-13 22:21:54,74,1.20,5.53,1.30,435.07,0.05,48.800232,-122.405080,97.3,4.0
2022-01-13 22:21:56,76,1.24,5.76,1.30,509.20,0.04,48.800236,-122.405077,98.6,4.0
2022-01-13 22:21:58,78,1.28,5.80,1.30,485.26,0.04,48.800238,-122.405078,99.4,4.0
2022-01-13 22:22:00,80,1.33,6.74,1.30,498.08,0.04,48.800241,-122.405079,100.3,4.0
2022-01-13 22:22:02,82,1.37,6.06,1.30,503.88,0.04,48.800245,-122.405078,101.6,4.0
2022-01-13 22:22:04,84,1.41,6.93,1.30,558.42,0.04,48.800248,-122.405076,103.0,4.0
2022-01-13 22:22:06,86,1.46,6.61,1.30,587.17,0.03,48.800251,-122.405072,104.0,4.0
2022-01-13 22:22:08,88,1.50,7.24,1.30,646.77,0.04,48.800253,-122.405068,104.8,4.0
2022-01-13 22:22:10,90,1.55,7.22,1.30,601.85,0.04,48.800253,-122.405062,105.4,4.0
2022-01-13 22:22:12,92,1.59,7.39,1.30,591.18,0.04,48.800256,-122.405063,105.7,4.0
2022-01-13 22:22:14,94,1.63,7.58,1.30,661.58,0.04,48.800258,-122.405061,106.1,4.0
2022-01-13 22:22:16,96,1.68,7.85,1.30,505.05,0.04,48.800260,-122.405060,106.5,4.0
2022-01-13 22:22:18,98,1.72,8.01,1.30,477.77,0.05,48.800262,-122.405058,107.0,4.0
2022-01-13 22:22:20,100,1.76,8.50,1.30,444.90,0.05,48.800265,-122.405056,107.3,4.0
2022-01-13 22:22:22,102,1.81,9.03,1.30,425.67,0.05,48.800266,-122.405054,107.7,4.0
2022-01-13 22:22:24,104,1.85,9.81,1.30,380.79,0.06,48.800269,-122.405054,107.8,4.0
2022-01-13 22:22:26,106,1.89,9.71,1.30,347.50,0.06,48.800272,-122.405055,107.9,4.0
2022-01-13 22:22:28,108,1.94,10.40,1.29,339.12,0.07,48.800276,-122.405058,107.9,4.0
2022-01-13 22:22:30,110,1.98,10.81,1.29,307.36,0.07,48.800279,-122.405061,107.9,3.0
2022-01-13 22:22:32,112,2.02,11.17,1.27,305.66,0.07,48.800282,-122.405066,107.6,3.0
2022-01-13 22:22:34,114,2.06,11.43,1.29,280.13,0.07,48.800286,-122.405074,107.3,3.0
2022-01-13 22:22:36,116,2.11,11.82,1.29,310.25,0.08,48.800288,-122.405079,107.1,3.0
2022-01-13 22:22:38,118,2.15,11.73,1.25,265.73,0.08,48.800292,-122.405086,107.0,3.0
2022-01-13 22:22:40,120,2.19,12.12,1.21,263.10,0.07,48.800298,-122.405098,106.6,3.5
2022-01-13 22:22:42,122,2.23,12.29,1.23,275.17,0.07,48.800302,-122.405109,106.4,3.5
2022-01-13 22:22:44,124,2.27,12.43,1.19,284.55,0.06,48.800309,-122.405129,105.8,3.5
2022-01-13 22:22:46,126,2.31,12.57,1.13,291.99,0.06,48.800315,-122.405150,105.2,3.5
2022-01-13 22:22:48,128,2.34,12.55,1.07,285.56,0.06,48.800319,-122.405161,104.5,3.5
2022-01-13 22:22:50,130,2.37,12.60,1.00,305.25,0.06,48.800322,-122.405166,103.7,3.5
