Serial Number,W30401034
Sample ID,00044
Start Time,2021-06-11 19:26:24 UTC
Duration,0:05:18
Total Volume (l),6.08
Distance (m),27
Peak Pressure (psi),8.1
Avg Flow (l/min),1.1
Avg Rate (mL/m),272.5
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-06-11 19:26:24,0,0.00,-0.21,0.22,34.82,0.10,48.691008,-122.409560,243.2,5.4
2021-06-11 19:26:26,2,0.00,-0.18,0.07,14.35,0.07,48.690979,-122.409561,238.9,5.4
2021-06-11 19:26:28,4,0.00,-0.17,0.04,10.89,0.06,48.690953,-122.409563,233.9,5.4
2021-06-11 19:26:30,6,0.00,-0.08,0.01,2.80,0.06,48.690939,-122.409567,231.1,5.4
2021-06-11 19:26:32,8,0.00,0.05,0.01,3.00,0.05,48.690926,-122.409568,227.8,5.4
2021-06-11 19:26:34,10,0.00,0.53,0.00,0.00,0.06,48.690915,-122.409570,225.1,5.4
2021-06-11 19:26:36,12,0.00,1.93,0.01,2.99,0.06,48.690906,-122.409571,221.9,4.5
2021-06-11 19:26:38,14,0.00,3.13,0.00,0.00,0.06,48.690900,-122.409572,219.3,4.5
2021-06-11 19:26:40,16,0.00,3.73,0.00,0.00,0.06,48.690896,-122.409576,217.5,4.5
2021-06-11 19:26:42,18,0.02,6.55,0.53,154.70,0.06,48.690886,-122.409576,214.7,4.5
2021-06-11 19:26:44,20,0.08,8.09,1.36,384.18,0.06,48.690876,-122.409574,211.5,4.5
2021-06-11 19:26:46,22,0.14,1.49,1.61,461.45,0.06,48.690869,-122.409568,209.1,4.4
2021-06-11 19:26:48,24,0.18,4.93,1.30,364.45,0.06,48.690864,-122.409563,207.9,4.4
2021-06-11 19:26:50,26,0.22,2.64,1.36,391.14,0.05,48.690853,-122.409552,204.5,4.4
2021-06-11 19:26:52,28,0.27,2.90,1.29,396.31,0.05,48.690846,-122.409549,201.5,4.4
2021-06-11 19:26:54,30,0.31,1.84,1.31,441.08,0.05,48.690844,-122.409543,200.1,4.4
2021-06-11 19:26:56,32,0.35,1.93,1.31,457.72,0.05,48.690846,-122.409537,199.8,5.3
2021-06-11 19:26:58,34,0.40,3.71,1.29,404.14,0.05,48.690849,-122.409538,199.1,5.3
2021-06-11 19:27:00,36,0.44,2.59,1.30,420.71,0.05,48.690848,-122.409535,198.0,5.3
2021-06-11 19:27:02,38,0.49,2.81,1.30,439.04,0.05,48.690848,-122.409533,197.4,5.3
2021-06-11 19:27:04,40,0.53,3.80,1.30,438.15,0.05,48.690844,-122.409527,196.5,5.3
2021-06-11 19:27:06,42,0.57,3.22,1.30,413.88,0.05,48.690843,-122.409520,196.1,4.4
2021-06-11 19:27:08,44,0.62,4.60,1.30,411.91,0.05,48.690841,-122.409516,195.8,4.4
2021-06-11 19:27:10,46,0.66,2.40,1.30,437.27,0.06,48.690838,-122.409514,195.6,4.4
2021-06-11 19:27:12,48,0.70,3.17,1.30,328.53,0.07,48.690835,-122.409512,196.1,4.4
2021-06-11 19:27:14,50,0.75,3.74,1.30,299.88,0.07,48.690834,-122.409514,197.8,4.4
2021-06-11 19:27:16,52,0.79,3.51,1.30,284.90,0.07,48.690834,-122.409521,201.1,5.5
2021-06-11 19:27:18,54,0.83,3.08,1.30,317.46,0.07,48.690833,-122.409528,204.7,5.5
2021-06-11 19:27:20,56,0.88,4.44,1.31,328.07,0.07,48.690836,-122.409538,209.4,5.5
2021-06-11 19:27:22,58,0.92,3.53,1.31,283.00,0.08,48.690839,-122.409554,214.3,5.5
2021-06-11 19:27:24,60,0.96,3.85,1.30,285.84,0.07,48.690842,-122.409557,214.7,5.5
2021-06-11 19:27:26,62,1.01,3.51,1.30,286.60,0.07,48.690847,-122.409560,214.9,3.6
2021-06-11 19:27:28,64,1.05,3.94,1.29,294.92,0.07,48.690852,-122.409563,214.3,3.6
2021-06-11 19:27:30,66,1.09,3.57,1.30,301.55,0.06,48.690852,-122.409563,212.0,3.6
2021-06-11 19:27:32,68,1.14,3.74,1.30,374.21,0.06,48.690850,-122.409561,210.9,3.6
2021-06-11 19:27:34,70,1.18,3.65,1.30,383.82,0.06,48.690848,-122.409559,209.5,3.6
2021-06-11 19:27:36,72,1.22,4.04,1.30,415.07,0.06,48.690846,-122.409557,208.1,4.5
2021-06-11 19:27:38,74,1.27,3.66,1.30,325.08,0.07,48.690844,-122.409555,207.2,4.5
2021-06-11 19:27:40,76,1.31,3.67,1.30,331.55,0.06,48.690843,-122.409555,206.2,4.5
2021-06-11 19:27:42,78,1.35,4.04,1.31,391.98,0.06,48.690841,-122.409555,205.0,4.5
2021-06-11 19:27:44,80,1.40,4.11,1.30,383.14,0.05,48.690841,-122.409552,204.5,4.5
2021-06-11 19:27:46,82,1.44,3.80,1.30,421.94,0.06,48.690838,-122.409546,203.6,3.7
2021-06-11 19:27:48,84,1.48,3.82,1.30,376.81,0.06,48.690836,-122.409540,203.6,3.7
2021-06-11 19:27:50,86,1.53,3.54,1.30,341.75,0.06,48.690832,-122.409537,203.8,3.7
2021-06-11 19:27:52,88,1.57,3.94,1.30,342.29,0.06,48.690828,-122.409533,204.0,3.7
2021-06-11 19:27:54,90,1.61,3.99,1.30,370.69,0.06,48.690825,-122.409526,203.8,3.7
2021-06-11 19:27:56,92,1.66,3.73,1.30,368.79,0.05,48.690822,-122.409519,203.7,3.7
2021-06-11 19:27:58,94,1.70,3.85,1.30,254.90,0.08,48.690812,-122.409514,203.3,3.7
2021-06-11 19:28:00,96,1.74,4.24,1.30,255.20,0.09,48.690808,-122.409510,203.0,3.7
2021-06-11 19:28:02,98,1.79,3.71,1.30,221.43,0.10,48.690802,-122.409516,205.0,3.7
2021-06-11 19:28:04,100,1.83,3.45,1.30,218.41,0.10,48.690798,-122.409519,205.9,3.7
2021-06-11 19:28:06,102,1.87,3.52,1.30,211.59,0.10,48.690797,-122.409520,205.4,3.5
2021-06-11 19:28:08,104,1.92,4.33,1.30,223.83,0.09,48.690794,-122.409525,206.1,3.5
2021-06-11 19:28:10,106,1.96,3.97,1.30,239.81,0.13,48.690790,-122.409535,206.1,3.5
2021-06-11 19:28:12,108,2.00,3.60,1.30,152.26,0.15,48.690785,-122.409543,206.4,3.5
2021-06-11 19:28:14,110,2.05,4.16,1.30,107.23,0.22,48.690791,-122.409530,206.4,3.5
2021-06-11 19:28:16,112,2.09,3.63,1.30,92.73,0.24,48.690791,-122.409532,206.2,5.7
2021-06-11 19:28:18,114,2.13,3.78,1.30,105.64,0.22,48.690796,-122.409527,206.2,5.7
2021-06-11 19:28:20,116,2.18,4.25,1.30,99.66,0.26,48.690798,-122.409525,207.5,5.7
2021-06-11 19:28:22,118,2.22,3.65,1.30,83.22,0.27,48.690795,-122.409556,205.4,5.7
2021-06-11 19:28:24,120,2.26,4.12,1.30,80.73,0.27,48.690811,-122.409556,201.6,5.7
2021-06-11 19:28:26,122,2.31,3.71,1.30,80.22,0.28,48.690826,-122.409547,198.5,3.3
2021-06-11 19:28:28,124,2.35,4.24,1.30,77.56,0.28,48.690833,-122.409541,197.0,3.3
2021-06-11 19:28:30,126,2.39,3.76,1.30,76.24,0.25,48.690834,-122.409543,196.5,3.3
