Serial Number,W30401034
Sample ID,00036
Start Time,2021-05-10 21:47:14 UTC
Duration,0:05:32
Total Volume (l),6.05
Distance (m),22
Peak Pressure (psi),8.1
Avg Flow (l/min),1.1
Avg Rate (mL/m),355.1
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-05-10 21:47:14,0,0.00,-0.10,0.03,6.46,0.07,48.710613,-122.474908,64.5,4.3
2021-05-10 21:47:16,2,0.00,-0.06,0.01,2.45,0.07,48.710617,-122.474915,64.2,3.8
2021-05-10 21:47:18,4,0.00,0.00,0.00,0.00,0.05,48.710623,-122.474923,63.9,3.8
2021-05-10 21:47:20,6,0.00,0.11,0.00,0.00,0.04,48.710629,-122.474931,63.9,3.8
2021-05-10 21:47:22,8,0.00,0.17,0.00,0.00,0.04,48.710632,-122.474942,63.5,3.8
2021-05-10 21:47:24,10,0.00,0.93,0.00,0.00,0.04,48.710637,-122.474946,63.5,3.8
2021-05-10 21:47:26,12,0.00,2.96,0.00,0.00,0.04,48.710644,-122.474950,63.8,3.8
2021-05-10 21:47:28,14,0.00,3.18,0.01,4.36,0.04,48.710651,-122.474952,63.8,3.8
2021-05-10 21:47:30,16,0.01,4.48,0.21,77.52,0.05,48.710659,-122.474951,64.3,3.8
2021-05-10 21:47:32,18,0.04,5.44,0.79,258.68,0.05,48.710674,-122.474951,65.5,3.8
2021-05-10 21:47:34,20,0.10,5.39,1.41,422.28,0.06,48.710684,-122.474949,66.0,3.8
2021-05-10 21:47:36,22,0.15,2.24,1.44,370.08,0.07,48.710691,-122.474948,66.7,4.7
2021-05-10 21:47:38,24,0.19,4.02,1.23,307.58,0.07,48.710700,-122.474948,67.6,4.7
2021-05-10 21:47:40,26,0.23,2.79,1.25,300.63,0.07,48.710703,-122.474948,67.6,4.7
2021-05-10 21:47:42,28,0.27,3.48,1.19,294.48,0.06,48.710709,-122.474946,68.2,4.7
2021-05-10 21:47:44,30,0.31,2.20,1.22,306.69,0.07,48.710712,-122.474940,68.6,4.7
2021-05-10 21:47:46,32,0.35,2.82,1.20,289.02,0.08,48.710713,-122.474936,68.8,4.3
2021-05-10 21:47:48,34,0.39,3.95,1.20,262.47,0.08,48.710715,-122.474935,69.3,4.3
2021-05-10 21:47:50,36,0.43,3.00,1.20,251.26,0.08,48.710716,-122.474934,69.5,4.3
2021-05-10 21:47:52,38,0.47,3.23,1.20,254.13,0.08,48.710713,-122.474931,69.6,4.3
2021-05-10 21:47:54,40,0.51,3.93,1.20,266.13,0.07,48.710711,-122.474931,69.6,4.3
2021-05-10 21:47:56,42,0.55,3.23,1.21,265.35,0.08,48.710709,-122.474930,69.4,4.3
2021-05-10 21:47:58,44,0.59,3.62,1.20,254.13,0.08,48.710708,-122.474929,69.2,4.3
2021-05-10 21:48:00,46,0.63,3.75,1.20,245.25,0.08,48.710706,-122.474925,68.9,4.3
2021-05-10 21:48:02,48,0.67,3.70,1.20,256.74,0.08,48.710706,-122.474922,68.8,4.3
2021-05-10 21:48:04,50,0.71,4.11,1.20,261.61,0.07,48.710705,-122.474918,68.5,4.3
2021-05-10 21:48:06,52,0.75,3.79,1.20,284.50,0.06,48.710703,-122.474914,68.3,2.7
2021-05-10 21:48:08,54,0.79,3.79,1.20,341.88,0.05,48.710702,-122.474911,68.1,2.7
2021-05-10 21:48:10,56,0.83,3.64,1.20,403.23,0.05,48.710701,-122.474908,67.9,2.7
2021-05-10 21:48:12,58,0.87,3.63,1.20,444.44,0.04,48.710698,-122.474905,67.7,2.7
2021-05-10 21:48:14,60,0.91,3.97,1.20,450.96,0.04,48.710695,-122.474904,67.5,2.7
2021-05-10 21:48:16,62,0.95,3.77,1.20,599.70,0.03,48.710692,-122.474902,67.4,2.7
2021-05-10 21:48:18,64,0.99,4.03,1.20,662.25,0.03,48.710689,-122.474898,67.3,2.7
2021-05-10 21:48:20,66,1.03,3.76,1.20,727.27,0.03,48.710685,-122.474892,67.3,2.7
2021-05-10 21:48:22,68,1.07,3.94,1.20,767.75,0.03,48.710681,-122.474888,67.4,2.7
2021-05-10 21:48:24,70,1.11,3.89,1.20,681.43,0.03,48.710677,-122.474889,67.4,2.7
2021-05-10 21:48:26,72,1.15,3.81,1.20,718.13,0.03,48.710672,-122.474888,67.3,4.2
2021-05-10 21:48:28,74,1.19,3.78,1.20,670.02,0.03,48.710669,-122.474886,67.0,4.2
2021-05-10 21:48:30,76,1.23,4.36,1.20,658.98,0.03,48.710666,-122.474883,66.4,4.2
2021-05-10 21:48:32,78,1.27,4.23,1.20,654.66,0.03,48.710662,-122.474882,66.0,4.2
2021-05-10 21:48:34,80,1.31,3.89,1.20,660.07,0.03,48.710658,-122.474883,65.4,4.2
2021-05-10 21:48:36,82,1.35,4.05,1.20,656.81,0.03,48.710654,-122.474885,65.1,4.2
