Serial Number,W30401034,,,,,,,,,
Sample ID,38,,,,,,,,,
Start Time,2021-05-10 22:45:12 UTC,,,,,,,,,
Duration,3:40:35,,,,,,,,,
Total Volume (l),6.05,,,,,,,,,
Distance (m),47,,,,,,,,,
Peak Pressure (psi),8.2,,,,,,,,,
Avg Flow (l/min),1.2,,,,,,,,,
Avg Rate (mL/m),681.5,,,,,,,,,
Avg Speed (m/s),0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
5/10/21 22:45,0,0,-0.17,0,0,0.06,48.799943,-122.404141,104.8,4
5/10/21 22:45,2,0,-0.18,0,0,0.06,48.799941,-122.40414,105.3,3.2
5/10/21 22:45,4,0,-0.18,0.03,7.82,0.06,48.799943,-122.404139,104.2,3.2
5/10/21 22:45,6,0,-0.07,0.01,2.65,0.06,48.799942,-122.404136,105.6,3.2
5/10/21 22:45,8,0,-0.02,0,0,0.06,48.799941,-122.404132,106.4,3.2
5/10/21 22:45,10,0,0.1,0,0,0.06,48.79994,-122.404128,106.8,3.2
5/10/21 22:45,12,0,0.61,0,0,0.06,48.799939,-122.404123,107,3.2
5/10/21 22:45,14,0,2.63,0,0,0.05,48.799938,-122.404118,106.8,3.2
5/10/21 22:45,16,0,2.58,0,0,0.04,48.799937,-122.404115,106.1,3.2
5/10/21 22:45,18,0,6.09,0.05,18.64,0.04,48.799936,-122.404113,105,3.2
5/10/21 22:45,20,0.04,8.24,0.79,329.99,0.04,48.79993,-122.404113,104,3.2
5/10/21 22:45,22,0.1,2.69,1.54,596.21,0.04,48.799927,-122.404114,102.8,4.2
5/10/21 22:45,24,0.14,4.19,1.25,597.8,0.04,48.799925,-122.404115,101.1,4.2
5/10/21 22:45,26,0.18,4.08,1.26,519.8,0.05,48.799924,-122.404118,97.6,4.2
5/10/21 22:45,28,0.22,2.87,1.2,408.58,0.05,48.799924,-122.404118,93.2,4.2
5/10/21 22:45,30,0.26,2.48,1.2,367.65,0.06,48.799925,-122.404119,89,4.2
5/10/21 22:45,32,0.3,3.36,1.2,351.8,0.06,48.799926,-122.404122,85.1,6.2
5/10/21 22:45,34,0.34,4.58,1.2,304.88,0.07,48.799927,-122.404124,82,6.2
5/10/21 22:45,36,0.38,3.23,1.2,281.49,0.07,48.799929,-122.404125,78.9,6.2
5/10/21 22:45,38,0.42,4.53,1.2,271,0.08,48.79993,-122.404125,76.9,6.2
5/10/21 22:45,40,0.46,2.3,1.2,260.93,0.08,48.799931,-122.404124,74.9,6.2
5/10/21 22:45,42,0.5,3.67,1.2,266.84,0.07,48.799931,-122.404121,73.8,5.4
5/10/21 22:45,44,0.54,4.55,1.2,268.82,0.07,48.799929,-122.404116,72.9,5.4
5/10/21 22:45,46,0.58,2.58,1.2,287.56,0.07,48.799926,-122.404109,73.8,5.4
5/10/21 22:46,48,0.62,2.57,1.2,318.98,0.06,48.799921,-122.404099,76.5,5.4
5/10/21 22:46,50,0.66,3.16,1.2,347.22,0.06,48.79992,-122.404092,78.2,5.4
5/10/21 22:46,52,0.7,4.11,1.2,374.18,0.05,48.799919,-122.404086,79.3,3.5
5/10/21 22:46,54,0.74,3.47,1.2,445.93,0.04,48.799917,-122.404078,80.8,3.5
5/10/21 22:46,56,0.78,4.42,1.2,514.8,0.04,48.799916,-122.404071,81.8,3.5
5/10/21 22:46,58,0.82,4.62,1.2,597.01,0.03,48.799914,-122.404068,82.1,3.5
5/10/21 22:46,60,0.86,2.49,1.2,671.14,0.03,48.799912,-122.404067,82.8,3.5
5/10/21 22:46,62,0.91,3.13,1.2,753.3,0.03,48.79991,-122.404065,83.8,3.5
5/10/21 22:46,64,0.94,2.99,1.2,852.88,0.02,48.799908,-122.404067,84,3.5
5/10/21 22:46,66,0.99,4.6,1.2,943.4,0.02,48.799905,-122.404067,84.7,3.5
5/10/21 22:46,68,1.02,4.59,1.2,999,0.02,48.799905,-122.40407,84.9,3.5
5/10/21 22:46,70,1.07,3.61,1.21,999,0.02,48.799905,-122.404073,85.2,3.5
5/10/21 22:46,72,1.11,2.54,1.2,999,0.02,48.799905,-122.404076,86,3.5
5/10/21 22:46,74,1.15,2.7,1.2,863.93,0.03,48.799906,-122.404078,86.8,3.5
5/10/21 22:46,76,1.19,4.54,1.2,804.83,0.02,48.799905,-122.40408,87.7,3.5
5/10/21 22:46,78,1.22,4.47,1.2,821.36,0.02,48.799905,-122.404082,88.3,3.5
5/10/21 22:46,80,1.27,2.61,1.2,833.33,0.02,48.799904,-122.404084,88.8,3.5
5/10/21 22:46,82,1.3,3.45,1.2,842.11,0.02,48.799904,-122.404087,89.4,3.1
5/10/21 22:46,84,1.35,4.59,1.2,890.87,0.02,48.799906,-122.404089,89.7,3.1
5/10/21 22:46,86,1.38,4.41,1.2,838.57,0.03,48.799909,-122.404092,89.9,3.1
5/10/21 22:46,88,1.43,2.5,1.2,776.7,0.03,48.799912,-122.404095,90.1,3.1
5/10/21 22:46,90,1.47,2.91,1.2,485.44,0.04,48.799912,-122.404095,90.4,3.1
5/10/21 22:46,92,1.51,4.3,1.2,451.98,0.04,48.799913,-122.404097,90.8,4.6
5/10/21 22:46,94,1.55,3.19,1.2,452.49,0.05,48.799913,-122.404098,91.5,4.6
5/10/21 22:46,96,1.59,2.87,1.2,394.87,0.05,48.799911,-122.404096,92.5,4.6
5/10/21 22:46,98,1.63,4.66,1.2,380.95,0.05,48.799911,-122.404097,93.5,4.6
5/10/21 22:46,100,1.66,4.56,1.2,333.61,0.06,48.799911,-122.404096,94.5,4.6
5/10/21 22:46,102,1.71,3.03,1.2,313.23,0.07,48.799912,-122.404097,95.7,3.6
5/10/21 22:46,104,1.75,3.34,1.2,286.12,0.07,48.799912,-122.404098,97,3.6
5/10/21 22:46,106,1.79,4.39,1.2,255.92,0.08,48.799912,-122.404101,98.4,3.6
5/10/21 22:47,108,1.83,2.8,1.2,241.55,0.08,48.799913,-122.404103,99.2,3.6
5/10/21 22:47,110,1.87,3.84,1.2,254.29,0.08,48.799914,-122.404106,100,3.6
5/10/21 22:47,112,1.91,3.5,1.2,243.9,0.08,48.799915,-122.40411,100.3,3.5
5/10/21 22:47,114,1.95,3.68,1.2,240.1,0.08,48.799918,-122.404115,100.3,3.5
