Serial Number,W30401034
Sample ID,00045
Start Time,2021-06-11 21:05:21 UTC
Duration,0:05:21
Total Volume (l),6.07
Distance (m),10
Peak Pressure (psi),7.3
Avg Flow (l/min),1.1
Avg Rate (mL/m),696.8
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-06-11 21:05:21,0,0.00,-0.18,0.00,0.00,0.06,48.714915,-122.478884,40.4,11.9
2021-06-11 21:05:23,2,0.00,-0.07,0.00,0.00,0.06,48.714918,-122.478868,41.2,11.9
2021-06-11 21:05:25,4,0.00,-0.04,0.02,5.93,0.05,48.714924,-122.478855,41.6,11.9
2021-06-11 21:05:27,6,0.00,0.02,0.01,3.31,0.05,48.714929,-122.478838,41.2,11.9
2021-06-11 21:05:29,8,0.00,0.17,0.00,0.00,0.05,48.714931,-122.478828,41.0,11.9
2021-06-11 21:05:31,10,0.00,0.17,0.00,0.00,0.06,48.714935,-122.478815,40.2,11.9
2021-06-11 21:05:33,12,0.00,0.75,0.00,0.00,0.06,48.714940,-122.478804,38.8,11.9
2021-06-11 21:05:35,14,0.00,2.41,0.00,0.00,0.05,48.714944,-122.478794,37.1,11.9
2021-06-11 21:05:37,16,0.00,2.75,0.00,0.00,0.04,48.714948,-122.478792,35.8,11.9
2021-06-11 21:05:39,18,0.00,4.89,0.00,0.00,0.04,48.714949,-122.478795,34.3,11.9
2021-06-11 21:05:41,20,0.03,4.70,0.50,212.86,0.04,48.714947,-122.478799,33.0,11.9
2021-06-11 21:05:43,22,0.07,7.27,1.07,427.66,0.04,48.714946,-122.478799,31.8,11.9
2021-06-11 21:05:45,24,0.12,5.66,1.48,510.17,0.05,48.714945,-122.478799,31.2,11.9
2021-06-11 21:05:47,26,0.17,2.10,1.47,520.17,0.05,48.714945,-122.478804,30.4,11.9
2021-06-11 21:05:49,28,0.21,3.95,1.30,429.04,0.05,48.714946,-122.478811,30.3,11.9
2021-06-11 21:05:51,30,0.26,2.91,1.32,480.87,0.04,48.714947,-122.478817,30.5,11.9
2021-06-11 21:05:53,32,0.30,3.53,1.30,548.52,0.04,48.714948,-122.478822,30.6,11.9
2021-06-11 21:05:55,34,0.35,3.30,1.30,554.13,0.04,48.714951,-122.478826,30.5,11.9
2021-06-11 21:05:57,36,0.39,3.62,1.30,575.48,0.04,48.714952,-122.478826,30.5,11.9
2021-06-11 21:05:59,38,0.43,3.60,1.30,559.86,0.04,48.714951,-122.478826,30.1,11.9
2021-06-11 21:06:01,40,0.48,3.65,1.29,511.90,0.04,48.714952,-122.478826,29.8,11.9
2021-06-11 21:06:03,42,0.52,3.91,1.30,534.98,0.05,48.714952,-122.478830,29.6,11.9
2021-06-11 21:06:05,44,0.56,3.85,1.30,356.36,0.06,48.714950,-122.478833,29.4,11.9
2021-06-11 21:06:07,46,0.61,3.98,1.30,357.54,0.06,48.714951,-122.478833,29.0,11.9
2021-06-11 21:06:09,48,0.65,3.80,1.30,357.83,0.06,48.714949,-122.478835,28.5,11.9
2021-06-11 21:06:11,50,0.69,3.82,1.30,354.61,0.06,48.714949,-122.478835,28.4,11.9
2021-06-11 21:06:13,52,0.74,3.35,1.36,369.16,0.06,48.714948,-122.478835,28.5,11.9
2021-06-11 21:06:15,54,0.78,3.57,1.28,316.28,0.07,48.714946,-122.478838,29.0,11.9
2021-06-11 21:06:17,56,0.82,3.29,1.31,309.91,0.07,48.714944,-122.478842,29.6,11.9
2021-06-11 21:06:19,58,0.87,3.64,1.29,314.79,0.07,48.714942,-122.478846,30.4,11.9
2021-06-11 21:06:21,60,0.91,3.50,1.30,321.70,0.07,48.714938,-122.478853,31.6,11.9
2021-06-11 21:06:23,62,0.95,3.92,1.29,328.24,0.05,48.714933,-122.478860,32.5,11.9
2021-06-11 21:06:25,64,1.00,3.89,1.30,510.40,0.04,48.714930,-122.478867,33.5,11.9
2021-06-11 21:06:27,66,1.04,4.06,1.30,540.99,0.04,48.714927,-122.478870,34.4,11.9
2021-06-11 21:06:29,68,1.08,3.97,1.30,602.69,0.03,48.714924,-122.478874,35.4,11.9
2021-06-11 21:06:31,70,1.13,4.02,1.30,633.53,0.03,48.714920,-122.478880,36.6,11.9
2021-06-11 21:06:33,72,1.17,4.28,1.30,626.20,0.04,48.714916,-122.478890,38.0,11.9
2021-06-11 21:06:35,74,1.21,4.10,1.30,698.92,0.03,48.714916,-122.478901,40.5,11.9
2021-06-11 21:06:37,76,1.26,4.16,1.30,718.63,0.03,48.714914,-122.478910,42.3,11.9
2021-06-11 21:06:39,78,1.30,4.12,1.30,690.02,0.04,48.714919,-122.478912,43.3,11.9
2021-06-11 21:06:41,80,1.34,4.26,1.30,615.53,0.04,48.714923,-122.478907,43.2,11.9
2021-06-11 21:06:43,82,1.39,4.19,1.30,608.61,0.04,48.714924,-122.478902,42.9,11.9
2021-06-11 21:06:45,84,1.43,4.16,1.30,591.18,0.03,48.714925,-122.478896,43.0,11.9
2021-06-11 21:06:47,86,1.47,4.19,1.30,625.30,0.03,48.714925,-122.478891,43.2,11.9
2021-06-11 21:06:49,88,1.52,4.23,1.30,637.25,0.03,48.714927,-122.478886,43.2,11.9
2021-06-11 21:06:51,90,1.56,4.26,1.30,649.68,0.03,48.714929,-122.478881,43.5,11.9
2021-06-11 21:06:53,92,1.60,4.26,1.30,679.21,0.03,48.714932,-122.478878,43.2,11.9
2021-06-11 21:06:55,94,1.65,4.23,1.30,752.31,0.03,48.714936,-122.478872,42.9,11.9
2021-06-11 21:06:57,96,1.69,4.31,1.30,775.19,0.03,48.714938,-122.478866,42.7,11.9
2021-06-11 21:06:59,98,1.73,4.29,1.30,782.19,0.02,48.714940,-122.478861,43.0,11.9
2021-06-11 21:07:01,100,1.78,4.26,1.30,950.29,0.02,48.714941,-122.478856,44.6,11.9
2021-06-11 21:07:03,102,1.82,4.35,1.30,935.93,0.02,48.714941,-122.478853,45.8,11.9
2021-06-11 21:07:05,104,1.86,4.22,1.30,999.00,0.02,48.714943,-122.478848,46.4,11.9
