Serial Number,W30401034
Sample ID,00035
Start Time,2021-05-10 21:16:25 UTC
Duration,0:05:38
Total Volume (l),6.03
Distance (m),13
Peak Pressure (psi),7.6
Avg Flow (l/min),1.1
Avg Rate (mL/m),536.7
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-05-10 21:16:25,0,0.00,-0.20,0.00,0.00,0.05,48.713788,-122.478406,39.8,3.4
2021-05-10 21:16:27,2,0.00,-0.09,0.00,0.00,0.04,48.713789,-122.478406,40.2,3.4
2021-05-10 21:16:29,4,0.00,-0.14,0.03,11.17,0.04,48.713788,-122.478406,40.9,3.4
2021-05-10 21:16:31,6,0.00,-0.07,0.01,4.05,0.04,48.713788,-122.478404,41.4,3.4
2021-05-10 21:16:33,8,0.00,0.13,0.00,0.00,0.04,48.713789,-122.478400,41.9,3.4
2021-05-10 21:16:35,10,0.00,0.29,0.01,3.70,0.05,48.713787,-122.478397,42.7,3.4
2021-05-10 21:16:37,12,0.00,1.59,0.01,3.62,0.04,48.713785,-122.478396,43.5,3.4
2021-05-10 21:16:39,14,0.00,3.17,0.01,3.69,0.04,48.713783,-122.478395,44.3,3.4
2021-05-10 21:16:41,16,0.00,3.83,0.00,0.00,0.03,48.713782,-122.478397,44.8,3.4
2021-05-10 21:16:43,18,0.02,5.23,0.37,221.82,0.03,48.713781,-122.478399,44.9,3.4
2021-05-10 21:16:45,20,0.06,6.36,1.07,664.18,0.03,48.713781,-122.478399,45.0,3.4
2021-05-10 21:16:47,22,0.12,3.41,1.48,920.40,0.03,48.713782,-122.478400,44.9,3.4
2021-05-10 21:16:49,24,0.16,2.65,1.32,816.33,0.03,48.713783,-122.478401,44.9,3.4
2021-05-10 21:16:51,26,0.20,3.83,1.21,716.40,0.03,48.713782,-122.478401,45.0,3.4
2021-05-10 21:16:53,28,0.24,2.93,1.24,717.59,0.02,48.713782,-122.478401,45.2,3.4
2021-05-10 21:16:55,30,0.28,3.15,1.20,865.80,0.02,48.713782,-122.478401,45.2,3.4
