Serial Number,W30401034
Sample ID,00161
Start Time,2022-04-11 21:11:37 UTC
Duration,0:05:24
Total Volume (l),5.28
Distance (m),15
Peak Pressure (psi),12.6
Avg Flow (l/min),1.0
Avg Rate (mL/m),393.1
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-04-11 21:11:37,0,0.00,-0.15,0.00,0.00,0.02,48.800165,-122.405100,102.2,6.2
2022-04-11 21:11:39,2,0.00,-0.20,0.00,0.00,0.02,48.800167,-122.405102,101.8,4.6
2022-04-11 21:11:41,4,0.00,-0.13,0.00,0.00,0.02,48.800168,-122.405104,101.5,4.6
2022-04-11 21:11:43,6,0.00,-0.11,0.00,0.00,0.02,48.800168,-122.405104,100.7,4.6
2022-04-11 21:11:45,8,0.00,-0.05,0.00,0.00,0.02,48.800168,-122.405104,100.1,4.6
2022-04-11 21:11:47,10,0.00,0.11,0.00,0.00,0.02,48.800167,-122.405102,99.6,4.6
2022-04-11 21:11:49,12,0.00,0.49,0.00,0.00,0.02,48.800167,-122.405101,99.2,4.7
2022-04-11 21:11:51,14,0.00,1.16,0.00,0.00,0.02,48.800166,-122.405099,99.3,4.7
2022-04-11 21:11:53,16,0.00,2.65,0.10,79.37,0.02,48.800166,-122.405097,99.4,4.7
2022-04-11 21:11:55,18,0.00,2.58,0.03,22.83,0.03,48.800165,-122.405096,99.0,4.7
2022-04-11 21:11:57,20,0.00,4.19,0.01,6.41,0.03,48.800163,-122.405098,98.4,4.7
2022-04-11 21:11:59,22,0.02,5.43,0.44,233.92,0.03,48.800163,-122.405100,97.4,4.5
2022-04-11 21:12:01,24,0.07,6.73,1.10,455.49,0.04,48.800164,-122.405100,96.4,4.5
2022-04-11 21:12:03,26,0.12,5.51,1.47,575.12,0.04,48.800163,-122.405100,96.2,4.5
