Serial Number,W30401034
Sample ID,00126
Start Time,2022-01-13 18:35:28 UTC
Duration,0:05:16
Total Volume (l),6.07
Distance (m),18
Peak Pressure (psi),8.9
Avg Flow (l/min),1.1
Avg Rate (mL/m),411.6
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-01-13 18:35:28,0,0.00,-0.15,0.00,0.00,0.03,48.665486,-122.373504,102.8,2.9
2022-01-13 18:35:30,2,0.00,-0.09,0.00,0.00,0.03,48.665487,-122.373501,102.9,2.9
2022-01-13 18:35:32,4,0.00,-0.10,0.01,5.84,0.03,48.665488,-122.373498,103.2,2.9
2022-01-13 18:35:34,6,0.00,-0.05,0.00,0.00,0.02,48.665488,-122.373494,103.5,2.9
2022-01-13 18:35:36,8,0.00,0.03,0.00,0.00,0.02,48.665489,-122.373492,103.9,2.9
2022-01-13 18:35:38,10,0.00,0.61,0.00,0.00,0.03,48.665489,-122.373484,105.0,2.9
2022-01-13 18:35:40,12,0.00,1.89,0.00,0.00,0.03,48.665489,-122.373481,105.3,2.9
2022-01-13 18:35:42,14,0.00,3.02,0.00,0.00,0.04,48.665488,-122.373476,105.9,2.9
2022-01-13 18:35:44,16,0.00,4.20,0.00,0.00,0.04,48.665484,-122.373476,106.4,4.9
2022-01-13 18:35:46,18,0.01,7.58,0.33,141.94,0.04,48.665481,-122.373479,106.4,4.9
2022-01-13 18:35:48,20,0.06,8.91,1.18,456.30,0.05,48.665470,-122.373488,105.1,4.9
2022-01-13 18:35:50,22,0.13,1.32,1.62,528.38,0.05,48.665464,-122.373494,103.8,4.9
2022-01-13 18:35:52,24,0.17,5.02,1.29,389.49,0.06,48.665461,-122.373498,102.8,4.9
2022-01-13 18:35:54,26,0.21,4.28,1.35,392.33,0.06,48.665459,-122.373503,101.5,4.9
2022-01-13 18:35:56,28,0.26,4.53,1.29,340.19,0.06,48.665457,-122.373503,100.2,4.9
2022-01-13 18:35:58,30,0.30,4.18,1.30,337.49,0.06,48.665455,-122.373504,98.6,4.9
2022-01-13 18:36:00,32,0.34,4.05,1.30,339.87,0.06,48.665455,-122.373505,97.6,4.9
2022-01-13 18:36:02,34,0.38,4.15,1.29,355.37,0.06,48.665453,-122.373506,96.9,4.9
2022-01-13 18:36:04,36,0.43,4.85,1.30,356.36,0.06,48.665451,-122.373507,96.5,4.9
2022-01-13 18:36:06,38,0.47,4.13,1.30,317.46,0.07,48.665446,-122.373508,98.1,4.9
2022-01-13 18:36:08,40,0.51,4.45,1.30,324.59,0.06,48.665446,-122.373508,97.9,4.9
2022-01-13 18:36:10,42,0.56,4.34,1.30,357.83,0.06,48.665438,-122.373508,100.1,4.9
2022-01-13 18:36:12,44,0.60,4.70,1.30,337.49,0.07,48.665430,-122.373509,102.5,4.9
2022-01-13 18:36:14,46,0.64,4.79,1.30,304.09,0.07,48.665423,-122.373511,104.1,4.7
2022-01-13 18:36:16,48,0.69,4.43,1.30,321.94,0.08,48.665421,-122.373513,104.0,4.7
2022-01-13 18:36:18,50,0.73,4.26,1.30,271.51,0.08,48.665422,-122.373512,103.2,4.7
2022-01-13 18:36:20,52,0.77,4.35,1.31,247.12,0.09,48.665424,-122.373510,102.4,4.7
2022-01-13 18:36:22,54,0.82,4.88,1.30,242.90,0.09,48.665425,-122.373503,101.8,4.7
2022-01-13 18:36:24,56,0.86,4.86,1.30,239.28,0.09,48.665429,-122.373501,100.3,4.9
2022-01-13 18:36:26,58,0.90,4.62,1.30,224.64,0.10,48.665434,-122.373504,98.6,4.9
2022-01-13 18:36:28,60,0.95,4.23,1.30,207.93,0.11,48.665429,-122.373497,99.1,4.9
2022-01-13 18:36:30,62,0.99,4.24,1.30,189.15,0.12,48.665424,-122.373495,100.1,4.9
2022-01-13 18:36:32,64,1.04,4.32,1.30,195.28,0.11,48.665417,-122.373483,101.6,4.9
2022-01-13 18:36:34,66,1.08,4.31,1.30,206.94,0.10,48.665418,-122.373480,101.0,3.6
2022-01-13 18:36:36,68,1.12,4.74,1.30,210.56,0.12,48.665420,-122.373465,100.1,3.6
2022-01-13 18:36:38,70,1.16,4.95,1.30,188.82,0.12,48.665419,-122.373453,99.9,3.6
2022-01-13 18:36:40,72,1.21,4.26,1.30,166.67,0.13,48.665420,-122.373440,98.4,3.6
2022-01-13 18:36:42,74,1.25,4.60,1.30,161.51,0.13,48.665416,-122.373426,96.6,3.6
2022-01-13 18:36:44,76,1.29,4.71,1.30,164.39,0.13,48.665414,-122.373430,95.9,4.9
2022-01-13 18:36:46,78,1.34,4.32,1.30,177.52,0.12,48.665412,-122.373432,95.9,4.9
2022-01-13 18:36:48,80,1.38,4.42,1.30,177.23,0.11,48.665406,-122.373438,96.8,4.9
2022-01-13 18:36:50,82,1.43,4.84,1.30,191.06,0.11,48.665403,-122.373445,97.0,4.9
2022-01-13 18:36:52,84,1.47,4.84,1.30,188.57,0.12,48.665399,-122.373448,97.4,4.9
2022-01-13 18:36:54,86,1.51,4.96,1.30,180.63,0.12,48.665394,-122.373446,97.2,5.9
2022-01-13 18:36:56,88,1.56,4.61,1.30,180.93,0.09,48.665393,-122.373447,95.9,5.9
2022-01-13 18:36:58,90,1.60,4.37,1.30,226.99,0.08,48.665387,-122.373444,97.6,5.9
2022-01-13 18:37:00,92,1.64,4.78,1.30,329.03,0.06,48.665383,-122.373443,97.8,5.9
2022-01-13 18:37:02,94,1.69,4.31,1.30,370.37,0.06,48.665380,-122.373442,98.3,5.9
2022-01-13 18:37:04,96,1.73,4.49,1.30,383.82,0.06,48.665376,-122.373441,99.3,3.5
2022-01-13 18:37:06,98,1.77,4.59,1.30,430.75,0.05,48.665375,-122.373447,99.8,3.5
2022-01-13 18:37:08,100,1.82,4.34,1.30,522.72,0.04,48.665375,-122.373451,100.6,3.5
2022-01-13 18:37:10,102,1.86,5.02,1.30,564.24,0.04,48.665372,-122.373454,101.6,3.5
2022-01-13 18:37:12,104,1.90,4.97,1.30,622.61,0.03,48.665370,-122.373455,102.1,3.5
2022-01-13 18:37:14,106,1.95,4.49,1.30,777.98,0.03,48.665367,-122.373458,102.4,3.5
2022-01-13 18:37:16,108,1.99,4.74,1.31,783.96,0.03,48.665366,-122.373458,102.5,3.5
2022-01-13 18:37:18,110,2.03,4.24,1.31,791.06,0.03,48.665365,-122.373456,102.4,3.5
2022-01-13 18:37:20,112,2.08,4.57,1.29,870.45,0.02,48.665364,-122.373455,102.1,3.5
2022-01-13 18:37:22,114,2.12,4.51,1.30,927.91,0.02,48.665362,-122.373455,102.1,3.5
2022-01-13 18:37:24,116,2.16,4.55,1.30,931.90,0.03,48.665360,-122.373455,102.0,3.5
2022-01-13 18:37:26,118,2.21,4.94,1.30,834.94,0.03,48.665357,-122.373456,102.0,3.5
2022-01-13 18:37:28,120,2.25,5.03,1.30,826.97,0.03,48.665355,-122.373458,101.8,3.5
2022-01-13 18:37:30,122,2.29,4.49,1.30,858.09,0.03,48.665355,-122.373459,101.5,3.5
2022-01-13 18:37:32,124,2.34,4.57,1.30,757.58,0.03,48.665354,-122.373460,101.3,3.5
2022-01-13 18:37:34,126,2.38,5.01,1.30,710.38,0.03,48.665353,-122.373461,101.2,3.5
2022-01-13 18:37:36,128,2.42,5.09,1.30,641.98,0.05,48.665351,-122.373465,101.6,3.5
2022-01-13 18:37:38,130,2.47,4.71,1.30,369.74,0.06,48.665347,-122.373470,102.2,3.5
2022-01-13 18:37:40,132,2.51,4.54,1.30,341.21,0.07,48.665346,-122.373475,102.3,3.5
2022-01-13 18:37:42,134,2.56,4.53,1.30,287.93,0.08,48.665345,-122.373483,102.3,3.5
2022-01-13 18:37:44,136,2.60,4.66,1.30,280.11,0.08,48.665346,-122.373491,101.8,4.1
2022-01-13 18:37:46,138,2.64,4.49,1.31,285.03,0.08,48.665345,-122.373499,101.9,4.1
2022-01-13 18:37:48,140,2.69,4.67,1.30,283.78,0.08,48.665345,-122.373509,102.2,4.1
2022-01-13 18:37:50,142,2.73,5.16,1.30,279.03,0.08,48.665345,-122.373518,102.8,4.1
2022-01-13 18:37:52,144,2.77,4.80,1.30,265.69,0.08,48.665347,-122.373525,103.0,4.1
2022-01-13 18:37:54,146,2.82,5.01,1.30,276.36,0.08,48.665350,-122.373525,102.5,3.5
2022-01-13 18:37:56,148,2.86,4.80,1.30,292.40,0.06,48.665353,-122.373523,102.0,3.5
2022-01-13 18:37:58,150,2.90,4.83,1.30,433.33,0.05,48.665355,-122.373522,101.8,3.5
2022-01-13 18:38:00,152,2.94,4.83,1.30,478.82,0.04,48.665356,-122.373519,101.7,3.5
2022-01-13 18:38:02,154,2.99,4.83,1.30,579.32,0.04,48.665358,-122.373516,101.6,3.5
2022-01-13 18:38:04,156,3.03,4.55,1.30,574.71,0.04,48.665358,-122.373515,101.9,3.5
2022-01-13 18:38:06,158,3.07,4.70,1.30,596.88,0.04,48.665360,-122.373514,101.9,3.5
2022-01-13 18:38:08,160,3.12,4.77,1.31,621.15,0.04,48.665361,-122.373513,102.4,3.5
2022-01-13 18:38:10,162,3.16,4.83,1.30,597.70,0.03,48.665363,-122.373511,102.6,3.5
2022-01-13 18:38:12,164,3.20,4.81,1.30,736.96,0.03,48.665361,-122.373512,103.5,3.5
2022-01-13 18:38:14,166,3.25,4.80,1.30,718.63,0.03,48.665363,-122.373512,103.7,3.5
2022-01-13 18:38:16,168,3.29,5.07,1.30,652.61,0.03,48.665365,-122.373512,103.9,3.5
2022-01-13 18:38:18,170,3.34,4.98,1.30,649.68,0.03,48.665369,-122.373510,103.5,3.5
2022-01-13 18:38:20,172,3.38,4.80,1.30,661.58,0.03,48.665375,-122.373507,102.5,3.5
2022-01-13 18:38:22,174,3.42,5.06,1.30,715.07,0.03,48.665381,-122.373506,101.7,3.5
2022-01-13 18:38:24,176,3.46,4.80,1.30,740.74,0.03,48.665385,-122.373508,101.2,3.5
2022-01-13 18:38:26,178,3.51,5.33,1.30,700.05,0.03,48.665390,-122.373509,100.8,3.5
2022-01-13 18:38:28,180,3.55,5.30,1.30,649.68,0.03,48.665395,-122.373511,99.7,3.5
2022-01-13 18:38:30,182,3.60,4.85,1.30,683.49,0.03,48.665400,-122.373512,98.5,3.5
2022-01-13 18:38:32,184,3.64,4.85,1.30,680.27,0.03,48.665406,-122.373514,97.3,3.5
2022-01-13 18:38:34,186,3.68,5.41,1.30,643.88,0.03,48.665409,-122.373516,96.5,3.5
2022-01-13 18:38:36,188,3.73,4.97,1.31,670.76,0.03,48.665411,-122.373518,96.1,3.5
2022-01-13 18:38:38,190,3.77,5.45,1.29,635.16,0.03,48.665413,-122.373521,95.8,3.5
2022-01-13 18:38:40,192,3.81,5.12,1.30,641.03,0.03,48.665413,-122.373524,95.8,3.5
