Serial Number,W30401034
Sample ID,00054
Start Time,2021-07-12 18:37:21 UTC
Duration,0:05:12
Total Volume (l),6.09
Distance (m),13
Peak Pressure (psi),7.5
Avg Flow (l/min),1.2
Avg Rate (mL/m),556.8
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-07-12 18:37:21,0,0.00,-0.19,0.00,0.00,0.02,48.689580,-122.409252,143.3,4.9
2021-07-12 18:37:23,2,0.00,-0.17,0.00,0.00,0.03,48.689581,-122.409258,141.7,4.9
2021-07-12 18:37:25,4,0.00,-0.10,0.08,52.91,0.03,48.689580,-122.409263,141.2,4.9
2021-07-12 18:37:27,6,0.00,-0.04,0.02,11.74,0.03,48.689579,-122.409270,141.0,4.9
2021-07-12 18:37:29,8,0.00,0.08,0.01,5.71,0.03,48.689578,-122.409280,140.9,4.9
2021-07-12 18:37:31,10,0.00,0.16,0.00,0.00,0.03,48.689576,-122.409289,141.2,4.9
2021-07-12 18:37:33,12,0.00,0.88,0.00,0.00,0.03,48.689576,-122.409298,141.0,4.9
2021-07-12 18:37:35,14,0.00,3.01,0.00,0.00,0.03,48.689571,-122.409309,142.4,4.9
2021-07-12 18:37:37,16,0.00,3.65,0.00,0.00,0.03,48.689569,-122.409317,144.3,4.9
2021-07-12 18:37:39,18,0.01,6.53,0.23,137.40,0.03,48.689568,-122.409323,146.2,3.9
2021-07-12 18:37:41,20,0.06,7.51,1.04,614.66,0.03,48.689571,-122.409328,146.5,3.9
2021-07-12 18:37:43,22,0.12,5.29,1.55,951.50,0.03,48.689576,-122.409323,145.3,3.9
2021-07-12 18:37:45,24,0.16,3.62,1.42,816.09,0.03,48.689571,-122.409318,144.4,3.9
2021-07-12 18:37:47,26,0.20,4.32,1.31,759.42,0.03,48.689570,-122.409315,144.6,3.9
2021-07-12 18:37:49,28,0.25,4.32,1.31,697.55,0.03,48.689575,-122.409308,144.1,4.2
2021-07-12 18:37:51,30,0.29,4.16,1.31,707.73,0.03,48.689576,-122.409306,144.5,4.2
2021-07-12 18:37:53,32,0.33,4.22,1.29,723.91,0.03,48.689578,-122.409307,144.9,4.2
2021-07-12 18:37:55,34,0.38,4.17,1.30,779.38,0.03,48.689578,-122.409308,144.9,4.2
2021-07-12 18:37:57,36,0.42,4.39,1.30,772.43,0.03,48.689578,-122.409309,144.6,4.2
2021-07-12 18:37:59,38,0.46,4.21,1.30,704.61,0.03,48.689576,-122.409311,144.4,4.9
2021-07-12 18:38:01,40,0.51,4.48,1.31,725.36,0.03,48.689573,-122.409318,143.9,4.9
2021-07-12 18:38:03,42,0.55,4.08,1.31,759.42,0.03,48.689568,-122.409326,143.2,4.9
2021-07-12 18:38:05,44,0.59,4.43,1.30,780.78,0.03,48.689566,-122.409328,141.5,4.9
2021-07-12 18:38:07,46,0.64,4.49,1.29,863.45,0.02,48.689563,-122.409329,138.7,4.9
2021-07-12 18:38:09,48,0.68,4.23,1.30,884.35,0.02,48.689559,-122.409330,136.4,4.9
2021-07-12 18:38:11,50,0.72,4.30,1.29,981.74,0.02,48.689554,-122.409330,134.4,4.9
2021-07-12 18:38:13,52,0.77,4.73,1.29,977.27,0.02,48.689548,-122.409331,133.2,4.9
2021-07-12 18:38:15,54,0.81,4.44,1.31,959.71,0.02,48.689543,-122.409332,131.6,4.9
2021-07-12 18:38:17,56,0.85,4.38,1.30,933.91,0.02,48.689540,-122.409328,129.9,4.9
2021-07-12 18:38:19,58,0.90,5.28,1.27,999.00,0.02,48.689537,-122.409326,128.3,4.9
2021-07-12 18:38:21,60,0.94,4.12,1.35,999.00,0.02,48.689535,-122.409325,127.1,4.9
2021-07-12 18:38:23,62,0.98,4.27,1.30,999.00,0.02,48.689533,-122.409324,126.5,4.9
2021-07-12 18:38:25,64,1.03,4.54,1.28,999.00,0.02,48.689533,-122.409326,126.1,4.9
2021-07-12 18:38:27,66,1.07,4.62,1.30,999.00,0.02,48.689533,-122.409328,125.3,4.9
2021-07-12 18:38:29,68,1.12,4.40,1.31,911.62,0.02,48.689534,-122.409330,124.3,4.9
2021-07-12 18:38:31,70,1.16,4.59,1.30,849.67,0.03,48.689534,-122.409332,125.0,4.9
2021-07-12 18:38:33,72,1.20,4.50,1.30,843.06,0.03,48.689534,-122.409329,124.8,4.9
2021-07-12 18:38:35,74,1.25,4.41,1.29,836.58,0.03,48.689534,-122.409330,124.9,4.9
2021-07-12 18:38:37,76,1.29,4.60,1.30,817.61,0.03,48.689533,-122.409328,125.3,4.9
2021-07-12 18:38:39,78,1.33,4.22,1.29,794.82,0.03,48.689530,-122.409324,126.4,4.9
2021-07-12 18:38:41,80,1.37,4.73,1.27,747.94,0.03,48.689530,-122.409323,126.2,4.9
2021-07-12 18:38:43,82,1.42,4.85,1.30,795.11,0.03,48.689529,-122.409317,126.0,4.9
2021-07-12 18:38:45,84,1.46,4.44,1.31,719.38,0.03,48.689529,-122.409315,124.5,4.9
2021-07-12 18:38:47,86,1.50,5.01,1.29,627.74,0.03,48.689529,-122.409310,124.5,4.9
2021-07-12 18:38:49,88,1.55,4.42,1.32,503.43,0.04,48.689530,-122.409309,125.5,4.9
2021-07-12 18:38:51,90,1.59,4.53,1.29,464.86,0.05,48.689533,-122.409308,127.0,4.9
2021-07-12 18:38:53,92,1.63,4.82,1.29,427.86,0.05,48.689533,-122.409305,129.5,4.9
2021-07-12 18:38:55,94,1.68,4.44,1.31,419.07,0.05,48.689535,-122.409299,133.3,4.9
2021-07-12 18:38:57,96,1.72,4.60,1.30,423.18,0.05,48.689538,-122.409299,134.5,4.9
2021-07-12 18:38:59,98,1.77,4.60,1.31,393.39,0.06,48.689542,-122.409293,137.7,4.9
2021-07-12 18:39:01,100,1.81,4.71,1.30,402.73,0.05,48.689548,-122.409290,137.9,4.9
2021-07-12 18:39:03,102,1.85,5.07,1.29,379.86,0.06,48.689554,-122.409286,139.0,4.9
