Serial Number,W30401034
Sample ID,00034
Start Time,2021-05-10 21:01:31 UTC
Duration,0:05:50
Total Volume (l),6.04
Distance (m),12
Peak Pressure (psi),9.6
Avg Flow (l/min),1.0
Avg Rate (mL/m),599.9
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-05-10 21:01:31,0,0.00,-0.14,0.00,0.00,0.05,48.714930,-122.478886,39.1,2.7
2021-05-10 21:01:33,2,0.00,-0.09,0.07,25.87,0.04,48.714932,-122.478885,39.1,3.0
2021-05-10 21:01:35,4,0.00,0.03,0.02,7.43,0.05,48.714933,-122.478886,39.0,3.0
2021-05-10 21:01:37,6,0.00,0.00,0.01,3.45,0.04,48.714931,-122.478890,39.0,3.0
2021-05-10 21:01:39,8,0.00,0.12,0.00,0.00,0.04,48.714932,-122.478891,38.6,3.0
2021-05-10 21:01:41,10,0.00,0.13,0.00,0.00,0.03,48.714933,-122.478891,38.0,3.0
2021-05-10 21:01:43,12,0.00,0.30,0.00,0.00,0.03,48.714934,-122.478898,37.7,3.0
2021-05-10 21:01:45,14,0.00,1.98,0.00,0.00,0.03,48.714935,-122.478898,37.0,3.0
2021-05-10 21:01:47,16,0.00,3.51,0.00,0.00,0.03,48.714936,-122.478899,36.7,3.0
2021-05-10 21:01:49,18,0.00,4.27,0.00,0.00,0.03,48.714937,-122.478895,36.2,3.0
2021-05-10 21:01:51,20,0.01,4.64,0.28,144.26,0.03,48.714937,-122.478889,35.9,3.0
2021-05-10 21:01:53,22,0.05,4.77,0.83,418.56,0.03,48.714935,-122.478885,35.5,2.5
2021-05-10 21:01:55,24,0.08,5.95,0.96,502.35,0.03,48.714935,-122.478880,35.2,2.5
2021-05-10 21:01:57,26,0.13,7.93,1.26,889.83,0.02,48.714935,-122.478877,35.0,2.5
2021-05-10 21:01:59,28,0.18,3.09,1.48,999.00,0.02,48.714934,-122.478882,35.7,2.5
2021-05-10 21:02:01,30,0.22,5.04,1.21,951.26,0.02,48.714933,-122.478887,36.4,2.5
2021-05-10 21:02:03,32,0.26,2.19,1.27,999.00,0.02,48.714932,-122.478895,37.4,2.5
2021-05-10 21:02:05,34,0.30,3.46,1.19,999.00,0.02,48.714932,-122.478901,38.2,2.5
2021-05-10 21:02:07,36,0.34,2.62,1.21,999.00,0.02,48.714933,-122.478904,39.3,2.5
2021-05-10 21:02:09,38,0.38,2.29,1.20,999.00,0.02,48.714933,-122.478903,41.0,2.5
2021-05-10 21:02:11,40,0.42,2.62,1.20,999.00,0.02,48.714933,-122.478904,42.0,2.5
2021-05-10 21:02:13,42,0.46,4.24,1.19,999.00,0.02,48.714934,-122.478907,42.4,2.5
2021-05-10 21:02:15,44,0.50,2.88,1.20,999.00,0.02,48.714935,-122.478909,42.5,2.5
2021-05-10 21:02:17,46,0.54,2.40,1.27,999.00,0.02,48.714936,-122.478912,42.7,2.5
2021-05-10 21:02:19,48,0.58,3.17,1.16,999.00,0.02,48.714937,-122.478911,42.7,2.5
2021-05-10 21:02:21,50,0.62,4.00,1.21,999.00,0.02,48.714937,-122.478910,42.8,2.5
2021-05-10 21:02:23,52,0.66,4.77,1.19,924.63,0.02,48.714938,-122.478907,42.8,2.5
2021-05-10 21:02:25,54,0.70,3.56,1.20,838.57,0.02,48.714940,-122.478902,42.7,2.5
2021-05-10 21:02:27,56,0.74,3.17,1.21,787.76,0.03,48.714941,-122.478897,42.5,2.5
2021-05-10 21:02:29,58,0.78,3.41,1.20,852.88,0.02,48.714942,-122.478894,42.4,2.5
2021-05-10 21:02:31,60,0.82,2.94,1.19,845.77,0.03,48.714939,-122.478895,42.5,2.5
2021-05-10 21:02:33,62,0.86,5.04,1.20,718.13,0.04,48.714939,-122.478895,42.2,2.7
2021-05-10 21:02:35,64,0.90,3.98,1.20,563.38,0.03,48.714938,-122.478891,42.1,2.7
2021-05-10 21:02:37,66,0.94,3.60,1.19,560.26,0.04,48.714937,-122.478886,42.0,2.7
2021-05-10 21:02:39,68,0.98,8.05,1.18,562.71,0.03,48.714937,-122.478883,42.1,2.7
2021-05-10 21:02:41,70,1.02,8.74,1.19,571.57,0.04,48.714938,-122.478883,41.9,2.7
2021-05-10 21:02:43,72,1.06,7.86,1.18,560.30,0.04,48.714937,-122.478884,42.1,2.6
2021-05-10 21:02:45,74,1.09,5.33,0.92,405.11,0.04,48.714937,-122.478885,42.2,2.6
2021-05-10 21:02:47,76,1.11,4.69,0.80,361.83,0.04,48.714936,-122.478885,42.3,2.6
2021-05-10 21:02:49,78,1.13,5.81,0.72,307.30,0.04,48.714936,-122.478890,42.4,2.6
2021-05-10 21:02:51,80,1.17,5.80,0.97,417.74,0.04,48.714937,-122.478892,42.4,2.6
2021-05-10 21:02:53,82,1.21,7.57,1.20,475.06,0.03,48.714937,-122.478890,42.7,2.4
2021-05-10 21:02:55,84,1.26,5.48,1.47,724.85,0.03,48.714937,-122.478888,43.0,2.4
2021-05-10 21:02:57,86,1.31,4.14,1.34,671.68,0.03,48.714937,-122.478888,43.0,2.4
2021-05-10 21:02:59,88,1.34,4.91,1.22,557.84,0.04,48.714937,-122.478889,42.8,2.4
2021-05-10 21:03:01,90,1.39,4.40,1.23,531.09,0.04,48.714938,-122.478887,42.8,2.4
2021-05-10 21:03:03,92,1.43,4.89,1.20,567.38,0.04,48.714938,-122.478884,43.0,2.5
2021-05-10 21:03:05,94,1.47,4.88,1.21,610.19,0.03,48.714937,-122.478881,43.2,2.5
2021-05-10 21:03:07,96,1.51,4.62,1.20,629.92,0.03,48.714938,-122.478879,43.2,2.5
2021-05-10 21:03:09,98,1.55,4.69,1.20,612.56,0.03,48.714938,-122.478879,43.2,2.5
2021-05-10 21:03:11,100,1.59,4.98,1.20,587.37,0.03,48.714938,-122.478878,43.1,2.5
2021-05-10 21:03:13,102,1.63,5.03,1.20,723.33,0.03,48.714938,-122.478877,43.0,2.4
2021-05-10 21:03:15,104,1.67,4.76,1.20,662.25,0.03,48.714938,-122.478876,42.8,2.4
2021-05-10 21:03:17,106,1.71,5.25,1.20,614.44,0.03,48.714937,-122.478875,42.8,2.4
2021-05-10 21:03:19,108,1.75,5.03,1.20,644.12,0.03,48.714936,-122.478874,42.8,2.4
2021-05-10 21:03:21,110,1.79,4.95,1.21,671.10,0.03,48.714935,-122.478872,42.9,2.4
2021-05-10 21:03:23,112,1.83,5.29,1.20,559.44,0.03,48.714934,-122.478870,42.8,3.8
2021-05-10 21:03:25,114,1.87,5.46,1.20,536.19,0.04,48.714933,-122.478870,42.8,3.8
2021-05-10 21:03:27,116,1.91,5.19,1.20,521.51,0.04,48.714932,-122.478869,42.6,3.8
2021-05-10 21:03:29,118,1.95,5.36,1.20,570.61,0.04,48.714931,-122.478871,42.7,3.8
2021-05-10 21:03:31,120,1.99,5.49,1.20,561.01,0.04,48.714931,-122.478874,42.4,3.8
2021-05-10 21:03:33,122,2.03,5.24,1.20,466.74,0.05,48.714930,-122.478877,42.5,3.5
2021-05-10 21:03:35,124,2.07,5.55,1.20,420.17,0.05,48.714930,-122.478885,42.7,3.5
