Serial Number,W30401034
Sample ID,00090
Start Time,2021-10-12 18:31:22 UTC
Duration,0:05:08
Total Volume (l),6.04
Distance (m),16
Peak Pressure (psi),5.3
Avg Flow (l/min),1.2
Avg Rate (mL/m),465.4
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-10-12 18:31:22,0,0.00,-0.20,0.00,0.00,0.03,48.690730,-122.409617,177.6,3.7
2021-10-12 18:31:24,2,0.00,-0.21,0.00,0.00,0.03,48.690725,-122.409612,177.7,3.7
2021-10-12 18:31:26,4,0.00,-0.20,0.01,5.96,0.02,48.690720,-122.409608,177.7,3.7
2021-10-12 18:31:28,6,0.00,-0.11,0.00,0.00,0.02,48.690716,-122.409604,177.7,3.7
2021-10-12 18:31:30,8,0.00,0.05,0.00,0.00,0.02,48.690715,-122.409602,177.9,3.7
2021-10-12 18:31:32,10,0.00,0.14,0.00,0.00,0.03,48.690717,-122.409601,177.5,3.7
2021-10-12 18:31:34,12,0.00,0.82,0.00,0.00,0.03,48.690718,-122.409603,177.6,3.7
2021-10-12 18:31:36,14,0.00,2.85,0.00,0.00,0.02,48.690719,-122.409608,177.9,3.7
2021-10-12 18:31:38,16,0.00,3.21,0.00,0.00,0.02,48.690719,-122.409613,178.5,3.7
2021-10-12 18:31:40,18,0.01,4.30,0.20,145.24,0.02,48.690719,-122.409619,179.2,3.7
2021-10-12 18:31:42,20,0.04,4.36,0.77,548.43,0.02,48.690720,-122.409626,179.8,3.7
2021-10-12 18:31:44,22,0.09,5.17,1.24,939.39,0.02,48.690722,-122.409632,180.6,3.7
2021-10-12 18:31:46,24,0.14,4.80,1.41,999.00,0.02,48.690724,-122.409636,181.6,3.8
2021-10-12 18:31:48,26,0.19,3.46,1.42,999.00,0.02,48.690727,-122.409640,182.4,3.8
2021-10-12 18:31:50,28,0.23,3.71,1.32,899.80,0.03,48.690731,-122.409642,183.7,3.8
