Serial Number,W30401034
Sample ID,00105
Start Time,2021-11-10 21:53:59 UTC
Duration,0:00:56
Total Volume (l),0.01
Distance (m),2
Peak Pressure (psi),0.1
Avg Flow (l/min),0.0
Avg Rate (mL/m),3.0
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-11-10 21:53:59,0,0.00,-0.14,0.00,0.00,0.05,48.710545,-122.474949,74.7,4.7
2021-11-10 21:54:01,2,0.00,-0.09,0.00,0.00,0.05,48.710551,-122.474946,74.0,5.1
2021-11-10 21:54:03,4,0.00,-0.10,0.03,10.60,0.05,48.710557,-122.474946,73.1,5.1
2021-11-10 21:54:05,6,0.00,-0.08,0.01,3.79,0.04,48.710561,-122.474944,73.0,5.1
2021-11-10 21:54:07,8,0.00,-0.07,0.03,12.21,0.04,48.710565,-122.474941,72.9,5.1
2021-11-10 21:54:09,10,0.00,-0.05,0.03,11.66,0.04,48.710570,-122.474938,73.0,5.1
2021-11-10 21:54:11,12,0.00,-0.03,0.02,8.04,0.04,48.710574,-122.474937,73.0,4.1
2021-11-10 21:54:13,14,0.01,-0.00,0.03,11.57,0.05,48.710577,-122.474937,72.7,4.1
2021-11-10 21:54:15,16,0.01,0.03,0.03,10.89,0.05,48.710582,-122.474936,72.3,4.1
2021-11-10 21:54:17,18,0.01,0.02,0.02,7.14,0.04,48.710586,-122.474936,71.6,4.1
2021-11-10 21:54:19,20,0.01,0.07,0.01,3.95,0.04,48.710590,-122.474936,71.2,4.1
2021-11-10 21:54:21,22,0.01,0.08,0.01,3.94,0.04,48.710593,-122.474937,70.7,4.1
2021-11-10 21:54:23,24,0.01,0.06,0.00,0.00,0.04,48.710595,-122.474938,70.2,4.1
2021-11-10 21:54:25,26,0.01,0.06,0.01,4.34,0.04,48.710589,-122.474941,73.2,4.1
2021-11-10 21:54:27,28,0.01,0.08,0.00,0.00,0.03,48.710595,-122.474940,72.1,4.1
2021-11-10 21:54:29,30,0.01,0.07,0.00,0.00,0.03,48.710598,-122.474938,71.1,4.1
2021-11-10 21:54:31,32,0.01,0.06,0.00,0.00,0.03,48.710603,-122.474939,69.8,4.1
2021-11-10 21:54:33,34,0.01,0.06,0.00,0.00,0.03,48.710610,-122.474929,69.3,4.1
2021-11-10 21:54:35,36,0.01,0.05,0.00,0.00,0.02,48.710614,-122.474927,68.5,4.1
2021-11-10 21:54:37,38,0.01,0.07,0.00,0.00,0.02,48.710616,-122.474925,67.9,4.1
2021-11-10 21:54:39,40,0.01,0.03,0.00,0.00,0.02,48.710617,-122.474925,67.4,4.1
2021-11-10 21:54:41,42,0.01,0.06,0.00,0.00,0.02,48.710616,-122.474927,67.4,4.1
2021-11-10 21:54:43,44,0.01,0.03,0.00,0.00,0.03,48.710621,-122.474917,67.0,4.1
2021-11-10 21:54:45,46,0.01,0.03,0.00,0.00,0.03,48.710622,-122.474914,66.6,4.1
2021-11-10 21:54:47,48,0.01,0.02,0.00,0.00,0.03,48.710622,-122.474913,66.3,4.1
2021-11-10 21:54:49,50,0.01,0.03,0.00,0.00,0.03,48.710623,-122.474912,65.9,4.1
2021-11-10 21:54:51,52,0.01,0.06,0.00,0.00,0.03,48.710622,-122.474912,65.8,4.1
2021-11-10 21:54:53,54,0.01,0.06,0.00,0.00,0.03,48.710622,-122.474912,65.5,4.1
2021-11-10 21:54:55,56,0.01,0.06,0.00,0.00,0.04,48.710621,-122.474911,65.4,4.1
