Serial Number,W30401034
Sample ID,00093
Start Time,2021-10-12 20:56:46 UTC
Duration,0:05:08
Total Volume (l),6.07
Distance (m),12
Peak Pressure (psi),8.0
Avg Flow (l/min),1.2
Avg Rate (mL/m),616.1
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-10-12 20:56:46,0,0.00,-0.15,0.00,0.00,0.06,48.710716,-122.474846,53.5,3.7
2021-10-12 20:56:48,2,0.00,-0.12,0.00,0.00,0.06,48.710717,-122.474843,53.8,3.7
2021-10-12 20:56:50,4,0.00,-0.10,0.05,13.06,0.07,48.710718,-122.474841,54.2,3.7
2021-10-12 20:56:52,6,0.00,-0.09,0.01,2.52,0.06,48.710719,-122.474839,54.1,3.7
2021-10-12 20:56:54,8,0.00,0.03,0.00,0.00,0.03,48.710719,-122.474841,54.1,3.4
2021-10-12 20:56:56,10,0.00,0.12,0.00,0.00,0.03,48.710719,-122.474842,54.7,3.4
2021-10-12 20:56:58,12,0.00,0.77,0.00,0.00,0.03,48.710717,-122.474843,55.3,3.4
2021-10-12 20:57:00,14,0.00,2.73,0.00,0.00,0.03,48.710717,-122.474845,56.0,3.4
2021-10-12 20:57:02,16,0.00,2.96,0.01,5.41,0.03,48.710716,-122.474845,56.8,3.4
2021-10-12 20:57:04,18,0.01,6.92,0.26,152.31,0.03,48.710714,-122.474847,57.5,3.4
2021-10-12 20:57:06,20,0.06,7.97,1.11,702.09,0.03,48.710711,-122.474851,58.3,3.4
2021-10-12 20:57:08,22,0.12,4.52,1.53,984.56,0.03,48.710711,-122.474855,58.9,3.4
2021-10-12 20:57:10,24,0.17,2.99,1.39,901.43,0.02,48.710714,-122.474863,58.9,3.4
2021-10-12 20:57:12,26,0.20,4.28,1.28,876.11,0.02,48.710713,-122.474868,59.3,3.4
2021-10-12 20:57:14,28,0.25,3.21,1.36,999.00,0.02,48.710715,-122.474876,60.0,3.4
2021-10-12 20:57:16,30,0.29,3.96,1.29,999.00,0.02,48.710716,-122.474883,60.5,3.4
2021-10-12 20:57:18,32,0.34,3.82,1.31,994.68,0.02,48.710716,-122.474887,61.0,3.4
2021-10-12 20:57:20,34,0.38,3.58,1.30,950.29,0.02,48.710716,-122.474889,61.7,3.4
2021-10-12 20:57:22,36,0.42,4.06,1.30,965.11,0.02,48.710716,-122.474891,61.8,3.4
2021-10-12 20:57:24,38,0.47,4.09,1.31,974.70,0.02,48.710717,-122.474893,61.7,3.4
2021-10-12 20:57:26,40,0.51,3.64,1.30,999.00,0.02,48.710719,-122.474896,62.3,3.4
2021-10-12 20:57:28,42,0.56,4.20,1.30,960.83,0.02,48.710721,-122.474898,62.4,3.4
2021-10-12 20:57:30,44,0.60,4.03,1.30,929.90,0.02,48.710720,-122.474898,62.4,3.4
2021-10-12 20:57:32,46,0.64,3.85,1.30,937.95,0.03,48.710718,-122.474899,62.5,3.4
2021-10-12 20:57:34,48,0.69,3.93,1.30,833.33,0.03,48.710719,-122.474899,62.9,3.4
2021-10-12 20:57:36,50,0.73,3.84,1.30,796.57,0.03,48.710719,-122.474901,62.9,3.4
2021-10-12 20:57:38,52,0.77,3.78,1.30,902.78,0.02,48.710715,-122.474903,62.8,3.4
2021-10-12 20:57:40,54,0.82,4.10,1.30,971.60,0.02,48.710715,-122.474903,63.3,3.4
2021-10-12 20:57:42,56,0.86,4.03,1.30,942.03,0.02,48.710715,-122.474905,63.1,3.4
2021-10-12 20:57:44,58,0.90,4.06,1.30,937.95,0.02,48.710715,-122.474906,63.1,3.4
2021-10-12 20:57:46,60,0.95,3.78,1.30,952.38,0.02,48.710717,-122.474907,63.0,3.4
2021-10-12 20:57:48,62,0.99,4.01,1.30,965.11,0.02,48.710719,-122.474907,62.7,3.4
2021-10-12 20:57:50,64,1.03,3.82,1.30,991.61,0.02,48.710722,-122.474907,62.5,3.4
2021-10-12 20:57:52,66,1.08,3.82,1.30,899.03,0.02,48.710725,-122.474905,62.3,3.4
2021-10-12 20:57:54,68,1.12,4.18,1.30,948.21,0.02,48.710725,-122.474904,61.7,3.8
2021-10-12 20:57:56,70,1.16,4.13,1.30,952.38,0.02,48.710726,-122.474903,61.3,3.8
2021-10-12 20:57:58,72,1.21,3.89,1.30,882.55,0.03,48.710727,-122.474901,61.2,3.8
2021-10-12 20:58:00,74,1.25,3.84,1.30,768.32,0.03,48.710726,-122.474900,61.0,3.8
2021-10-12 20:58:02,76,1.29,3.57,1.30,748.42,0.03,48.710724,-122.474901,61.5,3.8
2021-10-12 20:58:04,78,1.33,3.82,1.22,631.47,0.03,48.710720,-122.474901,63.0,3.8
2021-10-12 20:58:06,80,1.37,4.86,1.19,616.90,0.03,48.710719,-122.474899,63.2,3.8
2021-10-12 20:58:08,82,1.41,6.55,1.24,568.55,0.04,48.710716,-122.474895,63.8,3.8
2021-10-12 20:58:10,84,1.47,4.80,1.44,661.16,0.04,48.710715,-122.474895,64.5,3.8
2021-10-12 20:58:12,86,1.51,3.19,1.37,638.69,0.04,48.710716,-122.474888,65.7,3.8
2021-10-12 20:58:14,88,1.55,4.45,1.29,601.40,0.03,48.710713,-122.474889,66.1,3.8
2021-10-12 20:58:16,90,1.60,3.66,1.32,640.47,0.04,48.710712,-122.474889,66.2,3.8
2021-10-12 20:58:18,92,1.64,3.86,1.30,593.61,0.04,48.710711,-122.474887,66.2,3.8
2021-10-12 20:58:20,94,1.68,4.04,1.30,584.01,0.04,48.710711,-122.474887,66.1,3.8
2021-10-12 20:58:22,96,1.73,3.95,1.30,571.68,0.04,48.710712,-122.474887,65.8,3.8
2021-10-12 20:58:24,98,1.77,3.96,1.30,608.61,0.03,48.710713,-122.474886,65.4,3.8
2021-10-12 20:58:26,100,1.81,3.98,1.30,611.19,0.03,48.710713,-122.474885,65.1,3.8
2021-10-12 20:58:28,102,1.86,4.93,1.26,495.87,0.04,48.710713,-122.474886,64.8,3.8
2021-10-12 20:58:30,104,1.90,3.58,1.34,497.40,0.04,48.710712,-122.474887,64.4,3.8
2021-10-12 20:58:32,106,1.94,4.18,1.29,550.58,0.04,48.710709,-122.474888,64.1,3.8
2021-10-12 20:58:34,108,1.99,3.91,1.30,549.22,0.04,48.710706,-122.474887,63.5,3.8
2021-10-12 20:58:36,110,2.03,4.18,1.30,586.38,0.04,48.710706,-122.474888,63.1,3.8
2021-10-12 20:58:38,112,2.07,4.00,1.31,622.92,0.03,48.710703,-122.474889,63.0,3.8
2021-10-12 20:58:40,114,2.12,4.27,1.30,634.46,0.03,48.710701,-122.474891,63.0,3.8
2021-10-12 20:58:42,116,2.16,4.14,1.29,679.30,0.03,48.710701,-122.474892,62.8,3.8
2021-10-12 20:58:44,118,2.20,4.09,1.29,668.74,0.04,48.710702,-122.474892,62.7,3.8
2021-10-12 20:58:46,120,2.25,4.02,1.31,653.69,0.03,48.710703,-122.474895,62.5,3.8
2021-10-12 20:58:48,122,2.29,3.79,1.30,841.42,0.02,48.710700,-122.474901,62.3,3.8
2021-10-12 20:58:50,124,2.33,4.17,1.29,972.85,0.02,48.710697,-122.474906,62.2,3.8
2021-10-12 20:58:52,126,2.38,3.95,1.25,846.88,0.03,48.710692,-122.474913,62.2,3.8
2021-10-12 20:58:54,128,2.42,4.71,1.25,761.73,0.03,48.710687,-122.474920,61.9,3.8
2021-10-12 20:58:56,130,2.46,6.28,1.28,788.66,0.03,48.710684,-122.474928,61.5,3.8
2021-10-12 20:58:58,132,2.51,3.05,1.42,874.92,0.03,48.710680,-122.474936,61.0,3.8
2021-10-12 20:59:00,134,2.55,4.04,1.29,833.33,0.02,48.710677,-122.474944,60.4,3.8
2021-10-12 20:59:02,136,2.59,4.51,1.27,841.62,0.03,48.710676,-122.474949,60.0,3.8
2021-10-12 20:59:04,138,2.63,5.11,1.26,841.68,0.02,48.710675,-122.474954,59.6,3.8
2021-10-12 20:59:06,140,2.68,3.39,1.36,999.00,0.02,48.710673,-122.474957,58.9,3.8
2021-10-12 20:59:08,142,2.73,4.13,1.28,933.63,0.02,48.710672,-122.474961,58.2,3.8
2021-10-12 20:59:10,144,2.77,4.22,1.30,960.83,0.02,48.710672,-122.474964,57.8,3.8
2021-10-12 20:59:12,146,2.81,4.01,1.31,999.00,0.02,48.710671,-122.474967,57.7,3.8
2021-10-12 20:59:14,148,2.85,4.21,1.29,999.00,0.02,48.710670,-122.474969,57.6,3.8
2021-10-12 20:59:16,150,2.90,3.99,1.30,999.00,0.02,48.710671,-122.474971,57.8,3.8
2021-10-12 20:59:18,152,2.94,3.94,1.30,999.00,0.02,48.710671,-122.474973,57.9,3.8
2021-10-12 20:59:20,154,2.98,4.11,1.29,999.00,0.02,48.710672,-122.474973,57.7,3.8
2021-10-12 20:59:22,156,3.03,4.24,1.26,999.00,0.02,48.710674,-122.474973,57.7,3.8
2021-10-12 20:59:24,158,3.07,6.23,1.27,906.50,0.02,48.710674,-122.474972,57.4,3.8
2021-10-12 20:59:26,160,3.12,3.01,1.41,999.00,0.02,48.710674,-122.474972,57.2,3.8
2021-10-12 20:59:28,162,3.16,4.42,1.28,989.95,0.02,48.710674,-122.474971,56.6,3.8
2021-10-12 20:59:30,164,3.20,4.32,1.30,999.00,0.02,48.710677,-122.474959,55.7,3.8
2021-10-12 20:59:32,166,3.24,3.84,1.30,952.38,0.02,48.710674,-122.474954,54.1,3.8
2021-10-12 20:59:34,168,3.29,4.18,1.29,890.27,0.03,48.710660,-122.474953,51.6,3.8
2021-10-12 20:59:36,170,3.33,4.13,1.30,571.68,0.04,48.710648,-122.474952,49.5,3.8
2021-10-12 20:59:38,172,3.37,4.31,1.28,477.79,0.05,48.710641,-122.474952,48.1,3.8
2021-10-12 20:59:40,174,3.42,4.18,1.31,444.22,0.05,48.710632,-122.474951,46.5,3.8
2021-10-12 20:59:42,176,3.46,3.96,1.31,430.64,0.05,48.710624,-122.474951,46.0,3.8
2021-10-12 20:59:44,178,3.50,4.98,1.30,467.46,0.05,48.710619,-122.474953,45.6,3.8
2021-10-12 20:59:46,180,3.55,3.58,1.29,455.99,0.05,48.710616,-122.474955,45.4,3.8
2021-10-12 20:59:48,182,3.59,4.65,1.25,446.11,0.05,48.710616,-122.474954,45.6,3.8
2021-10-12 20:59:50,184,3.63,4.93,1.31,436.23,0.05,48.710619,-122.474948,45.8,3.8
2021-10-12 20:59:52,186,3.68,3.70,1.39,461.49,0.05,48.710621,-122.474943,45.6,3.8
2021-10-12 20:59:54,188,3.72,4.15,1.30,418.28,0.04,48.710623,-122.474938,45.4,3.8
2021-10-12 20:59:56,190,3.77,4.56,1.30,636.32,0.03,48.710621,-122.474935,45.3,3.8
2021-10-12 20:59:58,192,3.81,4.15,1.33,801.69,0.02,48.710620,-122.474934,45.2,3.8
2021-10-12 21:00:00,194,3.85,3.98,1.30,887.98,0.02,48.710618,-122.474934,44.8,3.8
2021-10-12 21:00:02,196,3.90,4.37,1.28,896.36,0.02,48.710616,-122.474935,45.3,3.8
2021-10-12 21:00:04,198,3.94,4.10,1.31,889.34,0.02,48.710615,-122.474940,46.3,3.8
2021-10-12 21:00:06,200,3.98,4.37,1.30,843.06,0.03,48.710615,-122.474946,46.6,3.8
2021-10-12 21:00:08,202,4.03,4.39,1.30,856.39,0.02,48.710616,-122.474950,46.9,3.8
2021-10-12 21:00:10,204,4.07,4.31,1.30,541.67,0.04,48.710626,-122.474956,48.3,3.8
2021-10-12 21:00:12,206,4.11,4.13,1.30,549.22,0.04,48.710627,-122.474962,47.7,3.8
2021-10-12 21:00:14,208,4.15,5.98,1.18,541.04,0.04,48.710630,-122.474969,48.2,3.8
2021-10-12 21:00:16,210,4.20,3.73,1.37,635.14,0.04,48.710640,-122.474956,48.3,3.8
2021-10-12 21:00:18,212,4.24,4.26,1.30,561.31,0.04,48.710644,-122.474953,47.8,3.8
2021-10-12 21:00:20,214,4.29,4.00,1.30,586.38,0.04,48.710645,-122.474946,47.5,3.8
2021-10-12 21:00:22,216,4.33,4.45,1.31,547.20,0.04,48.710646,-122.474936,46.6,3.8
2021-10-12 21:00:24,218,4.37,4.10,1.32,550.69,0.04,48.710642,-122.474933,45.4,3.8
2021-10-12 21:00:26,220,4.42,3.92,1.30,505.64,0.04,48.710639,-122.474930,44.0,3.8
2021-10-12 21:00:28,222,4.46,4.77,1.23,440.86,0.05,48.710638,-122.474933,45.0,3.8
2021-10-12 21:00:30,224,4.50,4.02,1.34,370.99,0.06,48.710642,-122.474933,45.3,3.8
2021-10-12 21:00:32,226,4.54,4.44,1.29,338.32,0.06,48.710642,-122.474931,45.8,3.8
2021-10-12 21:00:34,228,4.59,4.47,1.31,237.06,0.09,48.710643,-122.474929,45.5,3.8
2021-10-12 21:00:36,230,4.63,4.02,1.35,206.42,0.11,48.710643,-122.474931,45.5,3.8
2021-10-12 21:00:38,232,4.68,4.05,1.29,174.51,0.12,48.710642,-122.474941,45.9,3.8
2021-10-12 21:00:40,234,4.72,4.95,1.28,164.36,0.13,48.710641,-122.474927,47.8,3.8
2021-10-12 21:00:42,236,4.76,3.97,1.33,173.58,0.13,48.710647,-122.474912,48.0,3.8
2021-10-12 21:00:44,238,4.81,4.14,1.30,168.28,0.13,48.710650,-122.474905,48.1,3.8
2021-10-12 21:00:46,240,4.85,4.81,1.27,164.98,0.13,48.710652,-122.474901,48.2,3.8
2021-10-12 21:00:48,242,4.89,3.76,1.31,156.79,0.14,48.710655,-122.474889,47.7,3.8
2021-10-12 21:00:50,244,4.94,4.92,1.29,193.35,0.11,48.710655,-122.474878,47.1,3.8
2021-10-12 21:00:52,246,4.98,4.54,1.29,196.71,0.11,48.710655,-122.474869,46.9,3.8
2021-10-12 21:00:54,248,5.02,3.76,1.35,279.85,0.08,48.710656,-122.474867,46.3,3.8
2021-10-12 21:00:56,250,5.07,4.26,1.28,333.07,0.06,48.710658,-122.474874,47.4,3.8
2021-10-12 21:00:58,252,5.11,4.41,1.30,445.36,0.05,48.710657,-122.474890,47.7,3.8
2021-10-12 21:01:00,254,5.15,4.27,1.31,512.52,0.04,48.710654,-122.474910,45.4,3.8
2021-10-12 21:01:02,256,5.20,4.43,1.30,514.65,0.04,48.710651,-122.474923,44.2,3.8
2021-10-12 21:01:04,258,5.24,4.46,1.30,537.63,0.04,48.710642,-122.474930,42.8,3.8
2021-10-12 21:01:06,260,5.28,4.55,1.25,563.82,0.04,48.710636,-122.474931,40.6,3.8
2021-10-12 21:01:08,262,5.32,5.73,1.24,890.80,0.02,48.710632,-122.474932,39.4,3.8
2021-10-12 21:01:10,264,5.37,3.91,1.38,999.00,0.02,48.710630,-122.474933,37.5,3.8
2021-10-12 21:01:12,266,5.41,4.32,1.30,991.61,0.02,48.710627,-122.474935,36.4,3.8
2021-10-12 21:01:14,268,5.46,4.53,1.29,932.75,0.02,48.710627,-122.474928,36.1,3.8
2021-10-12 21:01:16,270,5.50,4.10,1.31,949.28,0.02,48.710627,-122.474923,35.8,3.8
2021-10-12 21:01:18,272,5.54,4.39,1.30,705.75,0.03,48.710623,-122.474920,35.9,3.8
2021-10-12 21:01:20,274,5.59,4.12,1.31,528.65,0.04,48.710621,-122.474914,37.2,3.8
2021-10-12 21:01:22,276,5.63,4.01,1.28,507.33,0.04,48.710617,-122.474910,38.1,3.8
2021-10-12 21:01:24,278,5.67,5.27,1.15,413.52,0.05,48.710614,-122.474907,38.8,3.8
2021-10-12 21:01:26,280,5.72,0.43,1.41,487.05,0.05,48.710615,-122.474906,39.3,3.8
2021-10-12 21:01:28,282,5.77,0.36,1.34,455.32,0.05,48.710615,-122.474904,39.6,3.8
2021-10-12 21:01:30,284,5.81,0.56,1.30,424.42,0.05,48.710615,-122.474903,40.9,3.8
2021-10-12 21:01:32,286,5.85,1.62,1.30,471.01,0.05,48.710615,-122.474904,42.7,3.8
2021-10-12 21:01:34,288,5.89,1.70,1.28,441.23,0.05,48.710607,-122.474907,45.5,3.8
2021-10-12 21:01:36,290,5.94,1.86,1.26,439.33,0.05,48.710604,-122.474907,46.7,3.8
2021-10-12 21:01:38,292,5.97,2.31,1.14,417.58,0.05,48.710603,-122.474908,47.1,3.8
2021-10-12 21:01:40,294,6.00,4.59,0.96,435.97,0.04,48.710606,-122.474909,47.4,3.8
2021-10-12 21:01:42,296,6.02,2.15,0.66,293.72,0.04,48.710609,-122.474907,47.4,3.8
2021-10-12 21:01:44,298,6.04,0.91,0.60,297.18,0.03,48.710613,-122.474908,48.3,3.8
2021-10-12 21:01:46,300,6.05,1.09,0.39,186.51,0.03,48.710616,-122.474908,49.0,3.8
2021-10-12 21:01:48,302,6.05,1.05,0.27,113.92,0.04,48.710617,-122.474908,50.3,3.8
2021-10-12 21:01:50,304,6.06,1.08,0.19,72.05,0.04,48.710621,-122.474912,50.0,3.8
2021-10-12 21:01:52,306,6.06,1.08,0.15,54.59,0.05,48.710624,-122.474912,49.7,3.8
2021-10-12 21:01:54,308,6.07,1.05,0.12,43.76,0.05,48.710629,-122.474909,49.0,3.8
