Serial Number,W30401034
Sample ID,00010
Start Time,2021-04-08 18:38:21 UTC
Duration,0:05:40
Total Volume (l),6.08
Distance (m),38
Peak Pressure (psi),8.6
Avg Flow (l/min),1.1
Avg Rate (mL/m),186.8
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-04-08 18:38:21,0,0.00,0.02,0.00,0.00,0.16,48.665269,-122.368921,132.8,6.6
2021-04-08 18:38:23,2,0.00,0.01,0.00,0.00,0.14,48.665265,-122.368924,132.7,6.6
2021-04-08 18:38:25,4,0.00,0.13,0.00,0.00,0.14,48.665264,-122.368927,132.8,6.6
2021-04-08 18:38:27,6,0.00,0.06,0.00,0.00,0.14,48.665262,-122.368928,133.0,6.6
2021-04-08 18:38:29,8,0.00,0.10,0.00,0.00,0.14,48.665262,-122.368933,133.6,6.6
2021-04-08 18:38:31,10,0.00,0.32,0.00,0.00,0.12,48.665254,-122.368942,134.4,6.6
2021-04-08 18:38:33,12,0.00,0.23,0.00,0.00,0.13,48.665246,-122.368943,135.5,6.6
2021-04-08 18:38:35,14,0.00,0.90,0.00,0.00,0.13,48.665253,-122.368939,134.4,6.6
2021-04-08 18:38:37,16,0.00,2.57,0.00,0.00,0.11,48.665252,-122.368942,134.5,4.3
2021-04-08 18:38:39,18,0.00,3.15,0.00,0.00,0.10,48.665250,-122.368947,135.0,4.3
2021-04-08 18:38:41,20,0.00,4.51,0.00,0.00,0.10,48.665246,-122.368952,135.6,4.3
2021-04-08 18:38:43,22,0.02,6.62,0.46,80.07,0.10,48.665245,-122.368943,134.6,4.3
2021-04-08 18:38:45,24,0.07,8.57,1.18,169.91,0.12,48.665244,-122.368934,134.4,4.3
2021-04-08 18:38:47,26,0.13,6.64,1.62,223.51,0.12,48.665243,-122.368921,134.5,4.3
2021-04-08 18:38:49,28,0.17,5.20,1.56,248.57,0.10,48.665241,-122.368914,135.1,4.3
2021-04-08 18:38:51,30,0.21,4.54,1.40,229.77,0.11,48.665234,-122.368912,136.3,4.3
2021-04-08 18:38:53,32,0.26,4.42,1.42,217.32,0.10,48.665229,-122.368911,137.5,4.3
2021-04-08 18:38:55,34,0.31,4.62,1.41,237.73,0.10,48.665223,-122.368912,139.2,4.3
2021-04-08 18:38:57,36,0.35,5.59,1.40,219.30,0.11,48.665219,-122.368911,139.9,6.6
2021-04-08 18:38:59,38,0.40,5.21,1.40,211.54,0.11,48.665218,-122.368916,141.2,6.6
2021-04-08 18:39:01,40,0.45,5.34,1.40,223.93,0.11,48.665218,-122.368919,141.2,6.6
2021-04-08 18:39:03,42,0.49,4.26,1.42,213.69,0.11,48.665217,-122.368918,141.2,6.6
2021-04-08 18:39:05,44,0.54,5.94,1.40,242.55,0.09,48.665216,-122.368912,140.9,6.6
2021-04-08 18:39:07,46,0.59,4.69,1.40,269.91,0.09,48.665214,-122.368909,141.3,4.3
2021-04-08 18:39:09,48,0.63,5.00,1.40,281.12,0.08,48.665211,-122.368908,141.6,4.3
2021-04-08 18:39:11,50,0.68,4.60,1.40,279.78,0.08,48.665208,-122.368908,142.1,4.3
2021-04-08 18:39:13,52,0.73,4.38,1.40,311.73,0.07,48.665200,-122.368911,143.0,4.3
2021-04-08 18:39:15,54,0.77,4.89,1.41,341.57,0.06,48.665193,-122.368916,144.2,4.3
2021-04-08 18:39:17,56,0.82,5.39,1.41,392.65,0.06,48.665187,-122.368918,145.5,4.3
2021-04-08 18:39:19,58,0.87,5.57,1.41,415.93,0.06,48.665181,-122.368922,146.6,4.3
2021-04-08 18:39:21,60,0.92,5.83,1.40,379.40,0.06,48.665178,-122.368918,147.6,4.3
2021-04-08 18:39:23,62,0.96,5.63,1.40,307.02,0.08,48.665170,-122.368917,149.2,4.3
2021-04-08 18:39:25,64,1.01,5.91,1.40,312.15,0.09,48.665174,-122.368919,150.0,4.3
2021-04-08 18:39:27,66,1.05,5.60,1.40,237.73,0.10,48.665180,-122.368926,150.5,6.6
2021-04-08 18:39:29,68,1.10,5.42,1.40,204.50,0.12,48.665194,-122.368927,149.2,6.6
2021-04-08 18:39:31,70,1.15,5.78,1.40,184.38,0.13,48.665209,-122.368922,147.4,6.6
2021-04-08 18:39:33,72,1.20,5.66,1.40,172.07,0.14,48.665220,-122.368925,145.9,6.6
2021-04-08 18:39:35,74,1.24,5.81,1.40,151.96,0.17,48.665231,-122.368920,142.4,6.6
2021-04-08 18:39:37,76,1.29,5.95,1.40,121.75,0.20,48.665246,-122.368913,139.4,4.3
2021-04-08 18:39:39,78,1.33,5.65,1.40,108.93,0.22,48.665257,-122.368908,137.9,4.3
2021-04-08 18:39:41,80,1.38,6.17,1.40,100.34,0.23,48.665263,-122.368904,137.6,4.3
2021-04-08 18:39:43,82,1.43,5.91,1.40,111.80,0.20,48.665272,-122.368900,136.7,4.3
2021-04-08 18:39:45,84,1.47,5.94,1.40,111.43,0.20,48.665270,-122.368899,137.4,4.3
2021-04-08 18:39:47,86,1.52,5.80,1.40,123.75,0.19,48.665270,-122.368901,138.2,6.6
2021-04-08 18:39:49,88,1.57,5.77,1.41,119.05,0.20,48.665276,-122.368883,139.4,6.6
2021-04-08 18:39:51,90,1.61,6.00,1.40,110.56,0.21,48.665258,-122.368890,143.3,6.6
2021-04-08 18:39:53,92,1.66,5.68,1.40,114.32,0.21,48.665236,-122.368896,147.9,6.6
2021-04-08 18:39:55,94,1.71,6.32,1.40,123.69,0.17,48.665221,-122.368897,152.1,6.6
2021-04-08 18:39:57,96,1.76,5.95,1.40,150.93,0.14,48.665210,-122.368900,154.4,6.7
2021-04-08 18:39:59,98,1.80,5.79,1.40,172.39,0.13,48.665203,-122.368897,156.0,6.7
2021-04-08 18:40:01,100,1.85,6.04,1.40,206.95,0.11,48.665195,-122.368904,155.7,6.7
2021-04-08 18:40:03,102,1.89,6.16,1.40,212.41,0.11,48.665191,-122.368901,154.9,6.7
2021-04-08 18:40:05,104,1.94,6.05,1.39,212.64,0.11,48.665199,-122.368891,152.6,6.7
2021-04-08 18:40:07,106,1.99,5.79,1.40,211.54,0.11,48.665204,-122.368886,151.4,4.3
2021-04-08 18:40:09,108,2.04,5.66,1.40,268.20,0.07,48.665208,-122.368885,150.9,4.3
2021-04-08 18:40:11,110,2.08,6.11,1.40,375.44,0.06,48.665212,-122.368894,149.6,4.3
2021-04-08 18:40:13,112,2.13,5.26,1.43,369.80,0.06,48.665210,-122.368907,150.0,4.3
2021-04-08 18:40:15,114,2.18,5.03,1.39,381.03,0.06,48.665205,-122.368920,150.6,4.3
2021-04-08 18:40:17,116,2.22,5.35,1.40,401.95,0.08,48.665194,-122.368954,152.2,4.3
2021-04-08 18:40:19,118,2.27,5.64,1.39,304.02,0.08,48.665191,-122.368978,151.2,4.3
2021-04-08 18:40:21,120,2.32,5.97,1.40,306.01,0.08,48.665190,-122.368986,149.9,4.3
