Serial Number,W30401034
Sample ID,00033
Start Time,2021-05-10 19:16:46 UTC
Duration,0:00:02
Total Volume (l),0.0
Distance (m),0
Peak Pressure (psi),-0.1
Avg Flow (l/min),0.0
Avg Rate (mL/m),0.0
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-05-10 19:16:46,0,0.00,-0.16,0.00,0.00,0.06,48.690522,-122.409592,190.8,5.7
2021-05-10 19:16:48,2,0.00,-0.10,0.00,0.00,0.06,48.690522,-122.409590,190.5,4.3
