Serial Number,W30401034
Sample ID,00157
Start Time,2022-04-11 18:00:39 UTC
Duration,0:05:20
Total Volume (l),6.02
Distance (m),5
Peak Pressure (psi),8.1
Avg Flow (l/min),1.1
Avg Rate (mL/m),860.5
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-04-11 18:00:39,0,0.00,-0.20,0.00,0.00,0.04,48.183165,-122.128521,34.8,2500.0
2022-04-11 18:00:41,2,0.00,-0.20,0.00,0.00,0.04,48.183165,-122.128523,35.1,2500.0
2022-04-11 18:00:43,4,0.00,0.07,0.00,0.00,0.04,48.183164,-122.128525,35.5,2500.0
2022-04-11 18:00:45,6,0.00,-0.16,0.06,24.75,0.04,48.183164,-122.128530,35.9,2500.0
2022-04-11 18:00:47,8,0.00,-0.05,0.02,7.60,0.04,48.183163,-122.128535,36.2,2500.0
2022-04-11 18:00:49,10,0.00,0.15,0.00,0.00,0.04,48.183163,-122.128540,36.7,2500.0
2022-04-11 18:00:51,12,0.00,0.58,0.00,0.00,0.03,48.183163,-122.128544,37.0,2500.0
2022-04-11 18:00:53,14,0.00,1.89,0.00,0.00,0.03,48.183163,-122.128549,37.3,2500.0
2022-04-11 18:00:55,16,0.00,2.85,0.00,0.00,0.03,48.183163,-122.128553,37.6,2500.0
2022-04-11 18:00:57,18,0.00,5.03,0.00,0.00,0.03,48.183164,-122.128556,37.8,2500.0
2022-04-11 18:00:59,20,0.02,7.20,0.50,276.85,0.03,48.183166,-122.128558,37.7,2500.0
2022-04-11 18:01:01,22,0.07,8.12,1.30,753.62,0.03,48.183168,-122.128561,37.6,2500.0
2022-04-11 18:01:03,24,0.13,1.44,1.57,949.79,0.03,48.183169,-122.128563,37.3,2500.0
2022-04-11 18:01:05,26,0.17,4.78,1.29,854.87,0.02,48.183172,-122.128562,37.4,2500.0
2022-04-11 18:01:07,28,0.22,3.10,1.33,999.00,0.02,48.183174,-122.128563,37.3,2500.0
2022-04-11 18:01:09,30,0.26,3.84,1.30,999.00,0.02,48.183174,-122.128563,37.1,2500.0
2022-04-11 18:01:11,32,0.30,3.80,1.30,999.00,0.02,48.183174,-122.128563,36.8,2500.0
