Serial Number,W30401034
Sample ID,00123
Start Time,2021-12-10 22:41:11 UTC
Duration,0:05:14
Total Volume (l),6.01
Distance (m),15
Peak Pressure (psi),8.7
Avg Flow (l/min),1.1
Avg Rate (mL/m),523.5
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-12-10 22:41:11,0,0.00,-0.20,0.00,0.00,0.12,48.799909,-122.404188,91.1,5.3
2021-12-10 22:41:13,2,0.00,-0.20,0.00,0.00,0.09,48.799903,-122.404197,92.3,4.3
2021-12-10 22:41:15,4,0.00,-0.19,0.04,7.03,0.10,48.799894,-122.404200,93.1,4.3
2021-12-10 22:41:17,6,0.01,-0.15,0.12,20.14,0.10,48.799884,-122.404200,93.5,4.3
2021-12-10 22:41:19,8,0.01,-0.05,0.04,6.43,0.10,48.799874,-122.404200,93.7,4.3
2021-12-10 22:41:21,10,0.01,0.03,0.01,1.63,0.10,48.799868,-122.404199,93.8,4.3
2021-12-10 22:41:23,12,0.01,0.63,0.00,0.00,0.09,48.799862,-122.404196,94.0,4.3
2021-12-10 22:41:25,14,0.01,2.06,0.01,1.59,0.11,48.799855,-122.404195,94.7,4.3
2021-12-10 22:41:27,16,0.01,3.06,0.00,0.00,0.10,48.799850,-122.404191,95.6,4.3
2021-12-10 22:41:29,18,0.01,3.70,0.00,0.00,0.10,48.799844,-122.404181,97.6,4.3
2021-12-10 22:41:31,20,0.02,3.98,0.22,37.26,0.09,48.799842,-122.404175,97.9,4.3
2021-12-10 22:41:33,22,0.05,5.86,0.68,122.32,0.09,48.799841,-122.404174,97.7,4.1
2021-12-10 22:41:35,24,0.10,6.17,1.25,258.48,0.08,48.799841,-122.404174,97.3,4.1
2021-12-10 22:41:37,26,0.15,4.99,1.49,312.76,0.08,48.799843,-122.404173,96.8,4.1
2021-12-10 22:41:39,28,0.20,2.86,1.45,308.45,0.08,48.799846,-122.404175,96.2,4.1
2021-12-10 22:41:41,30,0.24,4.35,1.30,263.75,0.08,48.799848,-122.404177,95.6,4.1
2021-12-10 22:41:43,32,0.28,4.35,1.31,277.25,0.08,48.799851,-122.404178,95.1,4.1
2021-12-10 22:41:45,34,0.33,4.09,1.32,367.89,0.06,48.799852,-122.404181,95.3,4.1
2021-12-10 22:41:47,36,0.37,3.99,1.29,431.73,0.05,48.799854,-122.404184,95.4,4.1
2021-12-10 22:41:49,38,0.41,3.99,1.31,452.04,0.05,48.799857,-122.404190,95.2,4.1
2021-12-10 22:41:51,40,0.46,3.96,1.30,449.05,0.05,48.799863,-122.404197,95.2,4.1
2021-12-10 22:41:53,42,0.50,4.32,1.29,454.55,0.04,48.799869,-122.404198,95.3,3.3
2021-12-10 22:41:55,44,0.55,4.16,1.30,476.71,0.04,48.799872,-122.404200,94.9,3.3
2021-12-10 22:41:57,46,0.59,4.41,1.30,498.08,0.04,48.799873,-122.404203,94.4,3.3
2021-12-10 22:41:59,48,0.63,4.25,1.30,498.66,0.04,48.799876,-122.404204,93.4,3.3
2021-12-10 22:42:01,50,0.68,4.55,1.29,514.97,0.04,48.799877,-122.404205,92.6,3.3
