Serial Number,W30401034
Sample ID,00160
Start Time,2022-04-11 19:37:17 UTC
Duration,0:05:18
Total Volume (l),6.02
Distance (m),32
Peak Pressure (psi),8.5
Avg Flow (l/min),1.1
Avg Rate (mL/m),222.5
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-04-11 19:37:17,0,0.00,-0.17,0.00,0.00,0.17,48.710367,-122.474361,65.0,4.2
2022-04-11 19:37:19,2,0.00,-0.13,0.00,0.00,0.18,48.710361,-122.474360,64.5,4.9
2022-04-11 19:37:21,4,0.00,-0.13,0.15,14.43,0.17,48.710363,-122.474365,63.1,4.9
2022-04-11 19:37:23,6,0.00,0.01,0.04,3.87,0.17,48.710362,-122.474369,62.1,4.9
2022-04-11 19:37:25,8,0.00,0.09,0.02,1.97,0.17,48.710362,-122.474373,61.3,4.9
2022-04-11 19:37:27,10,0.00,0.40,0.00,0.00,0.17,48.710363,-122.474375,60.6,4.9
2022-04-11 19:37:29,12,0.00,1.18,0.00,0.00,0.15,48.710363,-122.474378,59.9,4.0
2022-04-11 19:37:31,14,0.00,2.94,0.00,0.00,0.15,48.710368,-122.474379,59.0,4.0
2022-04-11 19:37:33,16,0.00,2.93,0.00,0.00,0.11,48.710371,-122.474382,58.3,4.0
2022-04-11 19:37:35,18,0.01,6.76,0.18,30.09,0.10,48.710374,-122.474390,58.0,4.0
2022-04-11 19:37:37,20,0.05,8.48,0.99,231.42,0.07,48.710372,-122.474401,58.5,4.0
2022-04-11 19:37:39,22,0.12,6.10,1.62,441.90,0.06,48.710370,-122.474409,58.8,2.7
2022-04-11 19:37:41,24,0.16,3.62,1.36,366.18,0.06,48.710365,-122.474414,59.8,2.7
2022-04-11 19:37:43,26,0.20,4.75,1.34,356.19,0.06,48.710364,-122.474417,60.3,2.7
2022-04-11 19:37:45,28,0.25,3.82,1.31,302.19,0.07,48.710359,-122.474423,61.2,2.7
2022-04-11 19:37:47,30,0.29,4.60,1.30,314.69,0.07,48.710355,-122.474422,62.0,2.7
2022-04-11 19:37:49,32,0.33,3.84,1.31,329.06,0.07,48.710353,-122.474426,62.7,3.5
2022-04-11 19:37:51,34,0.38,4.27,1.29,295.33,0.07,48.710346,-122.474431,63.9,3.5
2022-04-11 19:37:53,36,0.42,4.80,1.29,310.69,0.07,48.710347,-122.474433,64.2,3.5
2022-04-11 19:37:55,38,0.46,4.94,1.30,328.78,0.07,48.710348,-122.474435,64.6,3.5
2022-04-11 19:37:57,40,0.51,4.46,1.30,313.33,0.07,48.710353,-122.474430,64.2,3.5
2022-04-11 19:37:59,42,0.55,5.11,1.30,346.67,0.06,48.710355,-122.474424,64.0,4.9
2022-04-11 19:38:01,44,0.59,5.10,1.30,352.88,0.06,48.710357,-122.474427,64.2,4.9
2022-04-11 19:38:03,46,0.64,4.55,1.30,305.38,0.07,48.710358,-122.474422,64.7,4.9
