Serial Number,W30401034
Sample ID,00075
Start Time,2021-09-10 17:30:26 UTC
Duration,0:05:22
Total Volume (l),6.07
Distance (m),9
Peak Pressure (psi),8.1
Avg Flow (l/min),1.1
Avg Rate (mL/m),727.9
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-09-10 17:30:26,0,0.00,-0.20,0.00,0.00,0.03,48.665453,-122.373615,87.9,4.8
2021-09-10 17:30:28,2,0.00,-0.15,0.00,0.00,0.03,48.665450,-122.373622,89.5,4.8
2021-09-10 17:30:30,4,0.00,-0.07,0.14,80.09,0.03,48.665448,-122.373628,90.7,4.8
2021-09-10 17:30:32,6,0.01,-0.03,0.08,45.15,0.03,48.665445,-122.373629,88.9,4.8
2021-09-10 17:30:34,8,0.01,0.11,0.04,21.99,0.03,48.665446,-122.373627,89.0,4.1
2021-09-10 17:30:36,10,0.01,0.16,0.05,30.53,0.03,48.665445,-122.373627,88.6,4.1
2021-09-10 17:30:38,12,0.01,0.58,0.02,13.23,0.03,48.665446,-122.373625,88.1,4.1
2021-09-10 17:30:40,14,0.01,2.48,0.01,6.44,0.03,48.665449,-122.373624,88.7,4.1
2021-09-10 17:30:42,16,0.01,2.63,0.00,0.00,0.02,48.665454,-122.373618,88.4,4.1
2021-09-10 17:30:44,18,0.01,5.07,0.00,0.00,0.02,48.665457,-122.373613,86.8,4.1
2021-09-10 17:30:46,20,0.05,8.05,0.82,595.50,0.02,48.665462,-122.373603,85.3,4.1
2021-09-10 17:30:48,22,0.11,4.66,1.59,999.00,0.03,48.665468,-122.373596,84.5,4.1
2021-09-10 17:30:50,24,0.16,2.06,1.43,732.21,0.03,48.665473,-122.373590,84.9,4.1
2021-09-10 17:30:52,26,0.20,3.24,1.33,745.10,0.03,48.665474,-122.373586,85.1,4.1
2021-09-10 17:30:54,28,0.24,2.95,1.32,810.31,0.03,48.665478,-122.373584,85.5,4.6
2021-09-10 17:30:56,30,0.29,3.04,1.30,711.55,0.03,48.665480,-122.373580,84.8,4.6
2021-09-10 17:30:58,32,0.33,3.14,1.30,702.32,0.03,48.665482,-122.373578,84.2,4.6
2021-09-10 17:31:00,34,0.37,3.42,1.30,711.55,0.03,48.665486,-122.373575,84.1,4.6
2021-09-10 17:31:02,36,0.42,3.19,1.30,645.80,0.04,48.665488,-122.373572,84.2,4.6
2021-09-10 17:31:04,38,0.46,3.70,1.30,613.79,0.04,48.665487,-122.373569,84.5,4.0
2021-09-10 17:31:06,40,0.50,2.93,1.30,550.61,0.04,48.665487,-122.373565,85.5,4.0
2021-09-10 17:31:08,42,0.55,2.93,1.30,486.89,0.04,48.665487,-122.373561,86.5,4.0
2021-09-10 17:31:10,44,0.59,3.19,1.30,606.91,0.04,48.665485,-122.373559,87.0,4.0
2021-09-10 17:31:12,46,0.63,3.70,1.29,551.99,0.04,48.665485,-122.373554,87.5,4.0
2021-09-10 17:31:14,48,0.68,3.21,1.31,556.97,0.04,48.665486,-122.373550,87.7,4.0
2021-09-10 17:31:16,50,0.72,3.18,1.30,547.83,0.04,48.665487,-122.373546,88.3,4.0
2021-09-10 17:31:18,52,0.76,3.42,1.30,519.58,0.04,48.665488,-122.373543,88.5,4.0
2021-09-10 17:31:20,54,0.81,2.96,1.30,474.11,0.04,48.665487,-122.373541,88.8,4.0
2021-09-10 17:31:22,56,0.85,3.15,1.30,533.01,0.04,48.665484,-122.373538,88.8,4.0
2021-09-10 17:31:24,58,0.90,3.54,1.30,480.41,0.05,48.665480,-122.373537,88.9,4.5
2021-09-10 17:31:26,60,0.94,3.09,1.30,479.88,0.04,48.665474,-122.373536,88.7,4.5
2021-09-10 17:31:28,62,0.98,3.00,1.30,564.97,0.04,48.665474,-122.373535,89.1,4.5
2021-09-10 17:31:30,64,1.02,3.03,1.30,451.86,0.05,48.665471,-122.373534,89.7,4.5
2021-09-10 17:31:32,66,1.07,3.76,1.30,473.07,0.05,48.665471,-122.373533,90.0,4.5
2021-09-10 17:31:34,68,1.11,3.42,1.30,429.89,0.05,48.665473,-122.373532,90.3,3.5
2021-09-10 17:31:36,70,1.16,3.65,1.30,460.50,0.05,48.665472,-122.373532,90.5,3.5
2021-09-10 17:31:38,72,1.20,3.72,1.30,452.80,0.05,48.665471,-122.373532,91.0,3.5
2021-09-10 17:31:40,74,1.24,3.64,1.30,500.96,0.04,48.665467,-122.373531,91.6,3.5
2021-09-10 17:31:42,76,1.29,3.58,1.30,494.67,0.04,48.665464,-122.373530,92.0,3.5
2021-09-10 17:31:44,78,1.33,3.74,1.30,599.35,0.03,48.665464,-122.373528,92.0,3.4
2021-09-10 17:31:46,80,1.37,3.01,1.31,678.05,0.03,48.665464,-122.373526,91.6,3.4
2021-09-10 17:31:48,82,1.42,3.29,1.30,587.17,0.04,48.665462,-122.373523,91.2,3.4
2021-09-10 17:31:50,84,1.46,3.56,1.30,766.96,0.03,48.665462,-122.373521,91.2,3.4
2021-09-10 17:31:52,86,1.50,3.46,1.30,760.23,0.03,48.665463,-122.373518,91.1,3.4
2021-09-10 17:31:54,88,1.55,3.19,1.30,844.70,0.03,48.665465,-122.373516,90.9,3.2
2021-09-10 17:31:56,90,1.59,3.59,1.30,841.42,0.02,48.665467,-122.373514,90.8,3.2
2021-09-10 17:31:58,92,1.63,3.46,1.30,935.93,0.02,48.665468,-122.373514,90.4,3.2
2021-09-10 17:32:00,94,1.68,3.70,1.30,908.46,0.02,48.665473,-122.373515,90.5,3.2
2021-09-10 17:32:02,96,1.72,3.35,1.30,880.76,0.03,48.665476,-122.373516,90.6,3.2
2021-09-10 17:32:04,98,1.76,3.60,1.30,886.16,0.03,48.665481,-122.373515,90.9,3.2
2021-09-10 17:32:06,100,1.81,3.75,1.30,848.01,0.02,48.665488,-122.373515,91.3,3.2
2021-09-10 17:32:08,102,1.85,3.39,1.31,990.17,0.02,48.665496,-122.373513,91.6,3.2
2021-09-10 17:32:10,104,1.89,3.27,1.30,999.00,0.02,48.665501,-122.373511,91.6,3.2
2021-09-10 17:32:12,106,1.94,3.32,1.30,991.61,0.02,48.665506,-122.373511,91.2,3.2
2021-09-10 17:32:14,108,1.98,3.32,1.30,960.83,0.02,48.665511,-122.373511,90.9,3.5
2021-09-10 17:32:16,110,2.02,3.50,1.30,780.78,0.03,48.665516,-122.373511,90.9,3.5
2021-09-10 17:32:18,112,2.07,3.81,1.30,783.60,0.03,48.665518,-122.373511,90.9,3.5
