"Plate","Ct","dilution","Adj_Vol","Sample"
4,27.8320331573486,1,2.03,"0621.3Chk.Dn.3"
4,28.1393547058105,1,2.03,"0621.3Chk.Dn.3"
4,30.371223449707,1,2.016666667,"0521.5Sqm.Up.3"
4,30.7472667694092,1,2.016666667,"0521.5Sqm.Up.3"
4,30.5784950256348,1,2.016666667,"0521.5Sqm.Up.3"
4,NA,1,2.033333333,"0621.2Brn.Dn.2"
4,29.4443244934082,1,2.033333333,"0621.2Brn.Dn.2"
4,28.6156902313232,1,2.033333333,"0621.2Brn.Dn.2"
4,27.5943431854248,1,2.026666667,"0621.3Chk.Up.1"
4,28.4311447143555,1,2.026666667,"0621.3Chk.Up.1"
4,28.506628036499,1,2.026666667,"0621.3Chk.Up.1"
4,34.5782432556152,10,2.03,"0621.1Prt.Dn.1"
4,32.9943237304688,10,2.03,"0621.1Prt.Dn.1"
4,33.7303924560547,10,2.03,"0621.1Prt.Dn.1"
4,34.4006309509277,10,2.03,"0621.1Prt.Dn.2"
4,34.6175575256348,10,2.03,"0621.1Prt.Dn.2"
4,33.9326171875,10,2.03,"0621.1Prt.Dn.2"
5,33.359375,10,2.023333333,"0621.5Sqm.Dn.1"
5,33.010814666748,10,2.023333333,"0621.5Sqm.Dn.1"
5,32.9285774230957,10,2.023333333,"0621.5Sqm.Dn.1"
5,33.7839660644531,10,2.023333333,"0621.5Sqm.Dn.2"
5,33.727912902832,10,2.023333333,"0621.5Sqm.Dn.2"
5,33.9375991821289,10,2.023333333,"0621.5Sqm.Dn.2"
5,29.1010665893555,1,2.03,"0721.3Chk.Dn.1"
5,27.9401893615723,1,2.03,"0721.3Chk.Dn.1"
5,28.1057434082031,1,2.03,"0721.3Chk.Dn.1"
5,33.0333595275879,10,2.006666667,"0621.5Sqm.Up.1"
5,NA,10,2.006666667,"0621.5Sqm.Up.1"
5,33.1130523681641,10,2.006666667,"0621.5Sqm.Up.1"
5,28.9206275939941,1,2.03,"0721.3Chk.Dn.2"
5,28.9329128265381,1,2.03,"0721.3Chk.Dn.2"
5,28.5791110992432,1,2.03,"0721.3Chk.Dn.2"
5,30.5967845916748,10,2.04,"0721.2Brn.Dn.1"
5,30.9883842468262,10,2.04,"0721.2Brn.Dn.1"
5,30.9801578521729,10,2.04,"0721.2Brn.Dn.1"
5,33.0986709594727,10,2.006666667,"0621.5Sqm.Up.3"
5,32.8980903625488,10,2.006666667,"0621.5Sqm.Up.3"
5,33.3804130554199,10,2.006666667,"0621.5Sqm.Up.3"
6,27.6236782073975,1,2.03,"0721.3Chk.Dn.3"
6,27.8347454071045,1,2.03,"0721.3Chk.Dn.3"
6,27.4643745422363,1,2.03,"0721.3Chk.Dn.3"
6,29.2979373931885,1,2.02,"0821.2Brn.Dn.1"
6,29.7174053192139,1,2.02,"0821.2Brn.Dn.1"
6,30.3074111938477,1,2.02,"0821.2Brn.Dn.1"
6,26.4816360473633,1,2.033333333,"0721.3Chk.Up.1"
6,26.5652561187744,1,2.033333333,"0721.3Chk.Up.1"
6,26.3409633636475,1,2.033333333,"0721.3Chk.Up.1"
6,29.3292369842529,1,2.02,"0821.2Brn.Dn.2"
6,28.6812839508057,1,2.02,"0821.2Brn.Dn.2"
6,28.607967376709,1,2.02,"0821.2Brn.Dn.2"
6,26.1449203491211,1,2.033333333,"0721.3Chk.Up.2"
6,27.251932144165,1,2.033333333,"0721.3Chk.Up.2"
6,26.7176380157471,1,2.033333333,"0721.3Chk.Up.2"
6,29.1811046600342,1,2.02,"0821.2Brn.Dn.3"
6,29.0443286895752,1,2.02,"0821.2Brn.Dn.3"
6,28.9912414550781,1,2.02,"0821.2Brn.Dn.3"
6,26.2230987548828,1,2.033333333,"0721.3Chk.Up.3"
6,25.880407333374,1,2.033333333,"0721.3Chk.Up.3"
6,26.4833908081055,1,2.033333333,"0721.3Chk.Up.3"
6,27.3722267150879,1,2.01,"0721.5Sqm.Up.1"
6,26.4036617279053,1,2.01,"0721.5Sqm.Up.1"
6,26.5484256744385,1,2.01,"0721.5Sqm.Up.1"
10,30.2126731872559,1,2.023333333,"1121.3Chk.Dn.1"
10,30.3436946868896,1,2.023333333,"1121.3Chk.Dn.1"
10,31.1669368743896,1,2.023333333,"1121.3Chk.Dn.1"
10,34.4139366149902,1,2.023333333,"1121.3Chk.Dn.2"
10,36.1742362976074,1,2.023333333,"1121.3Chk.Dn.2"
10,35.6321792602539,1,2.023333333,"1121.3Chk.Dn.2"
10,31.7547359466553,1,2.023333333,"1121.3Chk.Dn.3"
10,32.439079284668,1,2.023333333,"1121.3Chk.Dn.3"
10,32.3272933959961,1,2.023333333,"1121.3Chk.Dn.3"
10,33.8666038513184,1,2.01,"1121.3Chk.Up.1"
10,34.3197174072266,1,2.01,"1121.3Chk.Up.1"
10,35.6911125183105,1,2.01,"1121.3Chk.Up.1"
10,31.7245712280273,1,2.01,"1121.3Chk.Up.2"
10,32.563346862793,1,2.01,"1121.3Chk.Up.2"
10,32.708251953125,1,2.01,"1121.3Chk.Up.2"
11,36.9197731018066,1,2.056666667,"1221.2Brn.Dn.3"
11,35.9880523681641,1,2.056666667,"1221.2Brn.Dn.3"
11,36.7326507568359,1,2.056666667,"1221.2Brn.Dn.3"
11,31.8530044555664,10,2.026666667,"0122.1Prt.Dn.3"
11,32.175594329834,10,2.026666667,"0122.1Prt.Dn.3"
11,32.7995147705078,10,2.026666667,"0122.1Prt.Dn.3"
11,37.5966911315918,1,1.296666667,"1221.3Chk.Dn.1"
11,36.4255599975586,1,1.296666667,"1221.3Chk.Dn.1"
11,35.186767578125,1,1.296666667,"1221.3Chk.Dn.1"
11,31.6099643707275,1,2.023333333,"1221.5Sqm.Dn.3"
11,31.6118240356445,1,2.023333333,"1221.5Sqm.Dn.3"
11,31.9595127105713,1,2.023333333,"1221.5Sqm.Dn.3"
11,35.779598236084,1,1.296666667,"1221.3Chk.Dn.2"
11,34.6097793579102,1,1.296666667,"1221.3Chk.Dn.2"
11,34.7349128723145,1,1.296666667,"1221.3Chk.Dn.2"
7,30.7522945404053,1,2.003333333,"0821.3Chk.Dn.1"
7,30.2644958496094,1,2.003333333,"0821.3Chk.Dn.1"
7,30.4114227294922,1,2.003333333,"0821.3Chk.Dn.1"
7,29.8525543212891,10,1.513333333,"0821.5Sqm.Dn.3"
7,30.5151252746582,10,1.513333333,"0821.5Sqm.Dn.3"
7,29.5194778442383,10,1.513333333,"0821.5Sqm.Dn.3"
7,31.5437335968018,1,2.003333333,"0821.3Chk.Dn.2"
7,30.9678020477295,1,2.003333333,"0821.3Chk.Dn.2"
7,30.9965744018555,1,2.003333333,"0821.3Chk.Dn.2"
7,25.7363739013672,1,2.006666667,"0821.5Sqm.Up.1"
7,25.9064388275146,1,2.006666667,"0821.5Sqm.Up.1"
7,25.6626052856445,1,2.006666667,"0821.5Sqm.Up.1"
7,37.5305328369141,100,2.02,"0921.1Prt.Up.3"
7,37.7793655395508,100,2.02,"0921.1Prt.Up.3"
7,36.5349655151367,100,2.02,"0921.1Prt.Up.3"
7,35.2327461242676,1,2.003333333,"0821.3Chk.Dn.3"
7,34.7952766418457,1,2.003333333,"0821.3Chk.Dn.3"
7,34.8301429748535,1,2.003333333,"0821.3Chk.Dn.3"
7,25.9450149536133,1,2.006666667,"0821.5Sqm.Up.2"
7,25.9733104705811,1,2.006666667,"0821.5Sqm.Up.2"
7,25.6674022674561,1,2.006666667,"0821.5Sqm.Up.2"
7,36.3542594909668,10,2.023333333,"0921.2Brn.Dn.1"
7,36.1466903686523,10,2.023333333,"0921.2Brn.Dn.1"
7,36.2409973144531,10,2.023333333,"0921.2Brn.Dn.1"
7,27.3981132507324,1,1.986666667,"0821.3Chk.Up.1"
7,26.9284057617188,1,1.986666667,"0821.3Chk.Up.1"
7,27.1746349334717,1,1.986666667,"0821.3Chk.Up.1"
7,25.7408294677734,1,2.006666667,"0821.5Sqm.Up.3"
7,25.3101234436035,1,2.006666667,"0821.5Sqm.Up.3"
7,25.5735664367676,1,2.006666667,"0821.5Sqm.Up.3"
7,35.2590255737305,10,2.023333333,"0921.2Brn.Dn.2"
7,35.1515464782715,10,2.023333333,"0921.2Brn.Dn.2"
7,35.211841583252,10,2.023333333,"0921.2Brn.Dn.2"
7,28.492488861084,1,1.986666667,"0821.3Chk.Up.2"
7,27.9293003082275,1,1.986666667,"0821.3Chk.Up.2"
7,28.0485706329346,1,1.986666667,"0821.3Chk.Up.2"
7,36.2071800231934,10,2.03,"0921.1Prt.Dn.1"
7,35.4303741455078,10,2.03,"0921.1Prt.Dn.1"
