"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha[1]",0.0423662143421969,3.44698462659171e-05,0.000717845415808213,0.0409222943692808,0.0418889697329237,0.0423546226363767,0.0428687931853568,0.0437900535196515,433.693756109464,1.00610465745
"alpha[2]",0.0306713540742669,2.63504074558738e-05,0.000695624617242173,0.0293057740156977,0.0302152455707954,0.0306793224478263,0.03111837839101,0.0320740311623425,696.907623406709,1.00314682855309
"alpha[3]",0,NA,0,0,0,0,0,0,NA,NA
"beta[1,1]",6.03487559590034,0.0174764099374674,0.177735282644729,5.71130328655143,5.91072959970839,6.02623536181814,6.14890004267976,6.4069031728382,103.429125299893,1.03395446661335
"beta[1,2]",7.91098365235388,0.0612211155178173,2.79042089790628,3.60190761650589,5.86340683647994,7.54547196496615,9.57188313388323,14.4347048732283,2077.48049122496,1.00022540521054
"beta[1,3]",7.31961546276816,0.0658779152471901,2.79982302222858,3.06593666427644,5.24442230408513,6.93535742008617,8.89268852295923,13.8565081317852,1806.26499836481,1.0001220091178
"beta[1,4]",6.01805311539106,0.0641273422799202,3.19426201709766,1.04108008088617,3.55541198362796,5.67545365770955,8.07922362343789,13.2931008977482,2481.15897822131,0.999700773286
"beta[1,5]",-4.30812936777009,0.0171757674141351,0.17595183589655,-4.6771016934595,-4.42069597345078,-4.29567175288567,-4.18510690924899,-3.97739960970176,104.943442009243,1.03347198661575
"beta[1,6]",6.64560536799144,0.07646308427325,3.10469018662358,1.78893666653429,4.32958655529053,6.17590882602065,8.64643870551787,13.7348147828465,1648.66688090587,1.0003819931642
"beta[1,7]",4.93597473221198,0.0425994496790296,1.72587156088068,2.35391598459724,3.69050051180801,4.6370650981519,5.92715426771498,9.08780983453164,1641.37935819757,0.999332210097251
"beta[1,8]",-7.98919069952016,0.0172822500351161,0.175837989690944,-8.35768764870546,-8.10392149343992,-7.97512673707415,-7.86910098127085,-7.67700205223679,103.520140237614,1.03390219045689
"beta[1,9]",-5.5404900175995,0.0172104045990145,0.175838081266622,-5.90562935767225,-5.65342936645981,-5.5282505503968,-5.42018740911072,-5.21798801962632,104.386349878387,1.03321291680177
"beta[1,10]",5.15201245925215,0.0378099956940961,1.73864803560174,2.48038547407233,3.87260643110536,4.90691054552186,6.14257713578423,9.0999841355559,2114.51170034186,1.00067942406943
"beta[1,11]",7.26942102148458,0.0586656008768899,2.9220637259867,2.73415949044962,5.06535572151678,6.90555907053957,9.15824568676228,13.9980280425848,2480.91748293248,0.999797438477288
"beta[1,12]",5.04041990961563,0.0437629582840042,1.77308837473146,2.38140840610945,3.73892804635323,4.74915192951617,6.05074343802987,9.33219638252044,1641.52469756606,1.00107091488465
"beta[1,13]",6.72697713322412,0.0559429204599474,2.88234919942376,2.153349986904,4.62032320833254,6.32492977286102,8.49421939520929,13.3205439076135,2654.6234129474,1.00055614772005
"beta[1,14]",4.09071663794924,0.0438751648635499,1.93167389813139,1.13762953847429,2.6907482266335,3.80961165092396,5.19491331466983,8.6715309618295,1938.3406340552,1.00157423089976
"beta[1,15]",5.29447537843513,0.0385045413044709,1.67000101813461,2.74263195282187,4.06242152935532,5.0912251174367,6.27723607453048,9.1873759985622,1881.0899520364,1.00005680923477
"beta[1,16]",4.57030543424043,0.0476006578477274,1.77922669739571,1.94853110634895,3.25173142808565,4.26501188820552,5.52411901201095,8.72219685638076,1397.12950265996,1.00131735094258
"beta[1,17]",-5.93641425730431,0.0172183388378811,0.177027001650233,-6.30988062604315,-6.05104438919096,-5.92450044728431,-5.81378543392032,-5.61148020873629,105.70524261172,1.03218656486023
"beta[1,18]",-4.27170131586266,0.017157185980471,0.179141641522603,-4.63696137732939,-4.39030326955508,-4.25888737823982,-4.14943248655298,-3.94905247374957,109.018695491285,1.03172195810795
"beta[1,19]",-4.60555234686889,0.0172343519408343,0.178966350855713,-4.9797059458007,-4.72036196024523,-4.59350597825553,-4.48248883824137,-4.27833908214709,107.833288813068,1.03231683148677
"beta[1,20]",-5.60069619603986,0.0171008144536289,0.17523433123686,-5.97014297613313,-5.71504213006549,-5.58835631275935,-5.4799624336046,-5.28241932315837,105.00374804896,1.03274996614898
"beta[1,21]",-5.12352233723899,0.0171218548524563,0.175903738905591,-5.49421094602184,-5.23794917934623,-5.11027565959216,-5.00253234982232,-4.80145015001045,105.547638070554,1.03188103874905
"beta[1,22]",-5.05111960716817,0.0171582415435126,0.178263466219226,-5.42208780258198,-5.1628345136455,-5.03904691731583,-4.92483682921804,-4.72714599795065,107.939186136086,1.03136838237714
"beta[1,23]",-4.7254391628319,0.0171580654825094,0.176004577004103,-5.09605444014399,-4.8393747686879,-4.71284504815067,-4.60751532261065,-4.40317999224201,105.223145844817,1.03214297963809
"beta[1,24]",-5.70666926370135,0.0171675756695788,0.175396239919916,-6.07563446807239,-5.81854647845933,-5.69443977509505,-5.58700346821752,-5.3885381217918,104.381279748892,1.03331585167941
"beta[1,25]",-7.03919530189333,0.017173625700569,0.174744666348933,-7.40243970255676,-7.15463662599833,-7.02586838165759,-6.92100905662102,-6.721223853233,103.534209341635,1.03365972666941
"beta[1,26]",-7.10360911590513,0.0171528962661413,0.174783609942288,-7.46610732164137,-7.21693253375919,-7.09140245342755,-6.98517512258241,-6.78740618689289,103.830868684779,1.03359002564202
"beta[1,27]",-7.0562079565818,0.0171488175670138,0.174994864296903,-7.42214307699506,-7.17187539405781,-7.04386618129227,-6.93485103231338,-6.73449411170298,104.131529189836,1.03360410339845
"beta[1,28]",-7.03501432527498,0.0171822171570766,0.174872909334505,-7.40021547738736,-7.14894987601115,-7.02386857001601,-6.91429245635707,-6.71347858588255,103.582565592985,1.0336653032218
"beta[1,29]",-6.68314054214586,0.017177004631392,0.17493584670782,-7.05280997600901,-6.79527486613206,-6.67065265843203,-6.56371619729807,-6.36756659925478,103.720059505061,1.03428496822807
"beta[1,30]",-6.95545574381795,0.0172255934692144,0.175077594955692,-7.31932855694586,-7.07076575394526,-6.94226927293954,-6.83632318371324,-6.63636255038041,103.302957951702,1.03361331944044
"beta[1,31]",-6.59161748653207,0.0171588668895557,0.175284473277804,-6.9569547936434,-6.70503440157343,-6.57773693824902,-6.47278176283488,-6.27384772189036,104.354140513118,1.03326007365623
"beta[1,32]",-6.42621825563279,0.0171574608917195,0.175036701890759,-6.78979886557113,-6.53662398332419,-6.4132642794445,-6.30548310453156,-6.10798250203062,104.076387132325,1.03362240813054
"beta[1,33]",-5.81830901890243,0.0171562574345627,0.175082149214194,-6.18067566324426,-5.93035342504054,-5.80664450804686,-5.69783711999449,-5.49815060424842,104.145049233299,1.0334118078547
"beta[1,34]",-6.49370190254052,0.0172313257250108,0.175653760007689,-6.86448950146142,-6.60729503485388,-6.47927517395884,-6.37314916777478,-6.17609095522518,103.914826604191,1.03317654730461
"beta[1,35]",-6.63509258880725,0.0171637666276247,0.17481000648386,-7.00375850896504,-6.7492226656672,-6.62198768085447,-6.51593978111249,-6.31986352203637,103.730716107646,1.03380919986513
"beta[1,36]",-6.34469031850483,0.0170979273853285,0.174984678883542,-6.71040352234772,-6.45746659821346,-6.33119477425644,-6.22599903235244,-6.02997998598399,104.740131093084,1.0328983696655
"beta[1,37]",-7.1067505802266,0.017182774181544,0.175025807792526,-7.47119188778788,-7.22179052878112,-7.09390856978972,-6.98803737574503,-6.78964440117437,103.757050194394,1.03347848142637
"beta[1,38]",-6.84616205259533,0.017159424953492,0.174955798276579,-7.2101508245164,-6.96003665996141,-6.83441230536424,-6.72624753231751,-6.52712340143767,103.956397479695,1.03347945704355
"beta[1,39]",-6.6149511980381,0.017132354694969,0.175103914913748,-6.98332258502193,-6.72971876356434,-6.60326896102041,-6.49377122307251,-6.29553911741917,104.461822321936,1.03328544474473
"beta[1,40]",-6.98715459446783,0.0171478918485644,0.175062202625038,-7.35510289216309,-7.10206015369287,-6.97402977240377,-6.86569053394816,-6.66899219120126,104.222936507683,1.03372865198654
"beta[1,41]",-7.0488942879837,0.0171836957852531,0.175472694303492,-7.41503981517815,-7.16448230548307,-7.03520466333677,-6.92821739240437,-6.72877151506853,104.276378096546,1.03312927349747
"beta[1,42]",-7.06436342126869,0.0171768200101472,0.175159192434947,-7.43188473598413,-7.17929275978269,-7.05164331280363,-6.94247375103361,-6.74906700669284,103.987308790814,1.03339770314391
"beta[1,43]",-4.37967427717814,0.0171101667934901,0.175350935343206,-4.74251117916492,-4.4945766644882,-4.36742656206324,-4.25901179654871,-4.05395295848708,105.028626792886,1.03217328812502
"beta[1,44]",-4.43470674554804,0.0171282203773755,0.179406787949847,-4.80569904203406,-4.55268689721046,-4.42255518477329,-4.3142537362393,-4.10426359392176,109.711779016356,1.03002016387922
"beta[1,45]",-4.43618811444109,0.0170165913372536,0.176296487961808,-4.8118049547594,-4.54832072340919,-4.42404006078254,-4.31226616173665,-4.11747815501361,107.335203274439,1.03188893691881
"beta[1,46]",-6.89707612778188,0.0171268679273534,0.174897939017328,-7.26420232321965,-7.00808688129158,-6.88429571160107,-6.77655290587106,-6.57755078492808,104.282992752824,1.03323784415117
"beta[1,47]",-6.80773297636368,0.0171441637037754,0.175217245381072,-7.17714553985445,-6.921280887638,-6.79582797487295,-6.68663610396574,-6.48411596999302,104.453040650857,1.03333431308267
"beta[1,48]",-6.90148642696738,0.0171476165536065,0.175207999050888,-7.26803387686309,-7.01587354927374,-6.88953755199349,-6.78068004492868,-6.58370231043063,104.399960104844,1.03279427948656
"beta[1,49]",6.79340305549322,0.0577556337081816,2.94326280274326,2.20412014431563,4.56296555117305,6.4572198813058,8.66067750284025,13.2260588641744,2596.9846151642,0.999794690702638
"beta[1,50]",7.72005188160294,0.0528435988939861,2.90829082377756,3.19234428908962,5.52936023119998,7.43023764675946,9.50713511962577,14.3398370210785,3028.94153909585,1.00080128124366
"beta[1,51]",7.58419792847239,0.107048772783844,2.93609084999997,3.07638420802576,5.41642174124599,7.13544385089848,9.41917139557119,14.2834324972532,752.273205681633,1.00136387169929
"beta[1,52]",6.41845890789234,0.0604195924448348,3.06351271385133,1.56756486109787,4.12391476584308,6.048607246335,8.31800171026692,13.2248182560265,2570.89175322085,1.0006436527664
"beta[1,53]",-0.137055077845103,0.017362454044675,0.319344711052691,-0.72492453477245,-0.364107859009532,-0.145365246135144,0.0753024505949498,0.506071640952854,338.296291652889,1.00922655230812
"beta[1,54]",6.4017182776677,0.0576279007164682,3.09835938073175,1.53272474706747,4.00093039938504,6.04719006728649,8.39076919071019,13.247240028201,2890.66645269989,1.00026165902547
"beta[1,55]",5.81348780149371,0.0619245289191868,3.19934174195765,0.671382486486283,3.40068725060574,5.40246043740827,7.86287577804313,12.7535094173418,2669.2905056079,0.999895416871604
"beta[1,56]",-1.2135782220656,0.0184555757383365,0.321359682418615,-1.82068726181221,-1.43112602715163,-1.22837163864613,-1.00890037259207,-0.558233273985264,303.198873343532,1.01416446290673
"beta[1,57]",6.5487600185252,0.0689990786132926,3.12160134700297,1.58787275895947,4.19870630007295,6.15130341437717,8.51652023682451,13.383369311978,2046.76648120696,1.00054940858823
"beta[1,58]",-9.91946243370797,0.0171310684453481,0.17529734157624,-10.285071116601,-10.0320519750315,-9.90784796640939,-9.79865640286627,-9.5997369723522,104.708456903786,1.03329474025553
"beta[1,59]",-9.27593533903202,0.0171741338247349,0.17522512870025,-9.64274453026286,-9.39084759337765,-9.26493056781637,-9.15639812079834,-8.95335858547949,104.098168804354,1.03315340636701
"beta[1,60]",-8.77864156895064,0.0171672637879056,0.174896038376992,-9.14540105066386,-8.89041603763702,-8.76701668391325,-8.65890613614294,-8.46273193350854,103.790542892084,1.0333030966916
"beta[1,61]",-10.4804256765624,0.0172566413797948,0.175416198609516,-10.8443259051822,-10.5934200051898,-10.4692331037793,-10.3603275587521,-10.1636228001531,103.330098379956,1.03372013352455
"beta[1,62]",-9.70310994756314,0.0171679812041987,0.175345093245511,-10.0675928390663,-9.81721902146568,-9.69104233753996,-9.58413469162405,-9.38560923497532,104.315483751545,1.03296682256936
