"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"int_samp_small[63,1]",0.951453856771188,7.14329720286654e-05,0.0021043481791709,0.947237605291278,0.950072357157342,0.951528408740269,0.952903939883622,0.955471420336603,867.836191504577,1.00295562374392
"int_samp_small[63,2]",0.0462328027889917,6.81444881846827e-05,0.00205063180010458,0.0423521964732195,0.0448515188266087,0.0461705416856915,0.047604678370088,0.0503459094624317,905.553071081901,1.00387698160571
"int_samp_small[63,3]",0.00231334043982059,4.25488884242243e-05,0.000406854807832471,0.0015206543962834,0.00203702644000456,0.00229837465805738,0.00257906163642154,0.00314376289502317,91.4328942639199,1.00716806559084
"int_samp_small[64,1]",0.999979005570346,8.03620202061694e-07,4.20619305575038e-05,0.999866286789765,0.99997757817919,0.999994254057171,0.999999005732401,0.999999990922481,2739.53411094869,0.999686240744967
"int_samp_small[64,2]",5.47900449230435e-06,2.13563945428548e-07,1.20960924884286e-05,9.85983382504007e-11,5.8797577358054e-08,7.73787753494544e-07,4.65270639700546e-06,4.20536386112975e-05,3207.99975662769,1.00133728271047
"int_samp_small[64,3]",1.55154251612566e-05,7.88238522218931e-07,3.91621849111575e-05,1.83131055471962e-09,2.17638507118228e-07,2.07490205928945e-06,1.22419111196064e-05,0.00011521514728962,2468.41692884098,0.999814670737104
"int_samp_small[65,1]",0.99984552369989,5.52831987063667e-06,0.000333053650986144,0.998921487114058,0.999853272072005,0.999967498656802,0.999996186937711,0.999999982445886,3629.46046917522,0.999911253827038
"int_samp_small[65,2]",4.63104855158857e-05,1.92619425809007e-06,0.000108850370661186,2.47409785143545e-10,2.97432514281931e-07,4.45902620138855e-06,3.66765561814958e-05,0.000374523155504698,3193.44658745583,1.00004705336221
"int_samp_small[65,3]",0.000108165814593933,5.10122382808253e-06,0.000299412281435579,3.40804707250155e-09,7.75125804671851e-07,8.83325260489381e-06,6.47530983626313e-05,0.000908307871436495,3445.00979997506,0.999864720139071
"int_samp_small[66,1]",0.832159269878883,0.000209251512305429,0.00598681387995412,0.819964231185016,0.828174359356601,0.83231824123667,0.836214276260767,0.843447567698068,818.567132952702,1.00518982554206
"int_samp_small[66,2]",0.167803409193647,0.000209443282533014,0.00598754038145248,0.156504038126392,0.163736795319878,0.167646604828743,0.171814236109055,0.179950261650781,817.267143214922,1.00518736984313
"int_samp_small[66,3]",3.73209274704245e-05,7.62511609845981e-07,5.01960154537541e-05,2.24693429730274e-07,5.24144753089572e-06,1.83879687781681e-05,4.99801878874223e-05,0.000181243868680514,4333.56752007901,0.999691859867278
"int_samp_small[67,1]",0.873456400413552,0.000166338201077724,0.00476546678755957,0.863686719907726,0.870360734187713,0.873558241915997,0.876759472835345,0.882325952163535,820.78024217492,1.00511006318496
"int_samp_small[67,2]",0.126511819474527,0.000166250133132886,0.00476486071497711,0.11767312288113,0.123218637125656,0.126430379233409,0.129624144046024,0.136274343195664,821.441077122084,1.00507603296796
"int_samp_small[67,3]",3.17801119208012e-05,7.58920316572875e-07,4.40412014705277e-05,1.95661567343848e-07,4.57010271049597e-06,1.59217647458611e-05,4.0304845030781e-05,0.000158112762508503,3367.64231717718,0.999730868068429
"int_samp_small[68,1]",0.90582948523911,0.000128095669590756,0.00380760956860242,0.898344735004278,0.903307382503853,0.905947054626764,0.908422794482555,0.912968844396665,883.559748004717,1.00335219451806
"int_samp_small[68,2]",0.0941203886785613,0.000128162714345527,0.00380791170839597,0.0869626461304853,0.0915089876221111,0.0939892172550572,0.0966397516200843,0.101600953290924,882.775653037971,1.00342559038048
"int_samp_small[68,3]",5.01260823289541e-05,1.2775974431063e-06,7.50140878422656e-05,2.67055292584577e-07,5.97710842619028e-06,2.2295734468904e-05,6.3175338702913e-05,0.00026674689247587,3447.44699419279,1.0005755562019
"int_samp_small[69,1]",0.834488098481492,0.000154392088150325,0.00483499092247951,0.824701292412842,0.831280739400901,0.834638291671791,0.837765547774501,0.843680079788605,980.71144581293,1.00184789687346
"int_samp_small[69,2]",0.017562298999812,2.6492799232526e-05,0.000859806351817742,0.0159640065384292,0.0169761389228538,0.0175306647699101,0.0181203691265873,0.0192967927182731,1053.28427787283,1.00239862010738
"int_samp_small[69,3]",0.147949602518696,0.00014099700305314,0.00447709355418973,0.139526311315707,0.144922532771665,0.147833867281676,0.150907697009969,0.157098068960913,1008.26008771431,1.00163417140085
"lp__",-1551262.87360998,0.304279557716753,9.91618635003939,-1551282.71013959,-1551269.52147312,-1551262.67184107,-1551256.03054431,-1551244.18801517,1062.04717159112,0.999287934578069
